,门店ID,体检分,有效订单数,入店人数,平均商家评分,平均配送评分,平均配送评分
94,4320557,80.0,0,1,0.0,0.0,0.0
95,4362920,76.0,0,2,0.0,0.0,0.0
96,4371458,84.0,2,9,0.0,0.0,0.0
97,4384891,84.0,0,3,4.8,5.0,5.0
98,4404304,78.0,0,1,0.0,0.0,0.0
99,4496751,54.0,0,0,0.0,0.0,0.0
100,4530539,83.0,0,1,0.0,0.0,0.0
101,4564340,86.0,0,11,5.0,5.0,5.0
102,4568666,92.0,4,69,5.0,5.0,5.0
103,4597000,71.0,0,2,0.0,0.0,0.0
104,4641301,58.0,0,0,0.0,0.0,0.0
105,4644119,83.0,0,3,0.0,0.0,0.0
106,4648258,68.0,0,2,0.0,0.0,0.0
107,4653357,71.0,0,2,0.0,0.0,0.0
108,4653968,73.0,0,2,0.0,0.0,0.0
109,4666902,58.0,0,2,0.0,0.0,0.0
110,4695060,73.0,0,3,0.0,0.0,0.0
111,4722599,66.0,0,0,0.0,0.0,0.0
112,4733956,57.0,0,2,0.0,0.0,0.0
113,4772352,79.0,0,14,5.0,5.0,5.0
114,4789782,70.0,0,1,0.0,0.0,0.0
115,4789783,74.0,0,0,0.0,0.0,0.0
116,4789788,78.0,0,1,0.0,0.0,0.0
117,4789789,81.0,0,9,0.0,0.0,0.0
118,4810715,74.0,1,1,0.0,0.0,0.0
119,4849426,56.0,0,2,0.0,0.0,0.0
120,4849427,67.0,0,0,0.0,0.0,0.0
121,4849430,84.0,1,5,0.0,0.0,0.0
122,4849433,69.0,0,2,0.0,0.0,0.0
123,4849495,68.0,0,0,0.0,0.0,0.0
124,4849496,86.0,0,10,0.0,0.0,0.0
125,4849498,85.0,0,9,4.5,5.0,5.0
126,4881711,81.0,0,1,0.0,0.0,0.0
127,4893963,69.0,0,1,0.0,0.0,0.0
128,4895530,73.0,0,0,0.0,0.0,0.0
129,4895531,72.0,0,3,0.0,0.0,0.0
130,4895532,55.0,0,0,0.0,0.0,0.0
131,4895533,57.0,0,0,0.0,0.0,0.0
132,4895535,70.0,0,0,0.0,0.0,0.0
133,4895537,72.0,0,2,0.0,0.0,0.0
134,4895681,66.0,0,0,0.0,0.0,0.0
135,4895684,53.0,0,6,0.0,0.0,0.0
136,4895685,67.0,0,0,0.0,0.0,0.0
137,4918754,78.0,0,9,0.0,0.0,0.0
138,4918755,74.0,0,4,0.0,0.0,0.0
139,4918756,88.0,0,7,5.0,5.0,5.0
140,4918759,83.0,0,5,0.0,0.0,0.0
141,4918763,60.0,0,2,0.0,0.0,0.0
142,4918765,52.0,0,0,0.0,0.0,0.0
143,4918766,70.0,0,2,0.0,0.0,0.0
144,4918769,84.0,1,6,5.0,5.0,5.0
145,4918770,92.0,1,16,4.3,4.6,4.6
146,4986602,86.0,1,5,5.0,5.0,5.0
147,5020140,58.0,0,0,0.0,0.0,0.0
148,5021738,87.0,1,13,5.0,5.0,5.0
149,5030693,81.0,0,2,4.2,0.0,0.0
150,5054486,78.0,0,1,0.0,0.0,0.0
151,5071962,84.0,0,5,0.0,0.0,0.0
152,5101794,65.0,0,1,0.0,0.0,0.0
153,5108779,52.0,0,0,0.0,0.0,0.0
154,5108780,79.0,0,2,0.0,0.0,0.0
155,5108781,77.0,0,8,2.3,0.0,0.0
156,5108785,74.0,0,1,0.0,0.0,0.0
157,5108786,77.0,0,2,0.0,0.0,0.0
158,5108787,55.0,0,0,0.0,0.0,0.0
159,5108788,69.0,0,2,0.0,0.0,0.0
160,5108789,82.0,0,3,0.0,0.0,0.0
161,5108790,56.0,0,2,0.0,0.0,0.0
162,5108791,89.0,0,6,5.0,0.0,0.0
163,5108794,86.0,0,6,0.0,0.0,0.0
164,5108795,78.0,0,0,0.0,0.0,0.0
165,5108798,68.0,0,0,0.0,0.0,0.0
166,5108990,73.0,0,1,0.0,0.0,0.0
167,5109129,73.0,0,1,0.0,0.0,0.0
168,5109131,71.0,3,6,0.0,0.0,0.0
169,5109859,84.0,0,4,0.0,0.0,0.0
170,5109986,58.0,0,1,0.0,0.0,0.0
171,5188784,74.0,0,4,0.0,0.0,0.0
172,5252927,89.0,0,8,4.8,5.0,5.0
173,5252928,77.0,0,2,0.0,0.0,0.0
174,5252930,74.0,0,3,0.0,0.0,0.0
175,5252931,51.0,0,2,0.0,0.0,0.0
176,5252933,86.0,0,17,4.8,5.0,5.0
177,5252935,81.0,0,6,0.0,0.0,0.0
178,5252939,83.0,1,26,5.0,5.0,5.0
179,5252942,81.0,0,1,0.0,0.0,0.0
180,5252943,72.0,0,1,0.0,0.0,0.0
181,5253002,56.0,0,1,0.0,0.0,0.0
182,5253068,84.0,0,6,0.0,0.0,0.0
183,5253069,74.0,1,7,0.0,0.0,0.0
184,5253070,86.0,9,42,4.9,5.0,5.0
185,5253072,87.0,1,4,5.0,5.0,5.0
186,5253141,78.0,0,1,0.0,0.0,0.0
187,5260014,89.0,1,12,4.5,5.0,5.0
188,5260338,73.0,0,0,0.0,0.0,0.0
189,5277233,84.0,0,2,0.0,0.0,0.0
190,5277235,76.0,1,5,0.0,0.0,0.0
191,5277237,74.0,0,3,0.0,0.0,0.0
192,5277238,64.0,0,2,0.0,0.0,0.0
193,5277240,87.0,1,7,0.0,0.0,0.0
