,time,商家ID,商家名称,r,f,m,r_score,f_score,m_score,rfm_group
131,20200701,9439896,花开鲜花礼品鲜花店,12.7,14,1067,1,3,3,133
132,20200701,9456415,夏沫鲜花（文峰店）,12.5,4,256,1,1,1,111
133,20200701,9456418,慧媛花艺,12.9,0,0,1,1,1,111
134,20200701,9465964,静上花开鲜花礼品鲜花店,4.7,3,268,1,1,1,111
135,20200701,9465966,花艺生活馆鲜花礼品鲜花店,15,1,76,2,1,1,211
136,20200701,9465967,金百合花店礼品鲜花店,14.9,0,0,2,1,1,211
137,20200701,9469049,俊萍花艺鲜花礼品鲜花店,15.6,18,1522.2,2,3,3,233
138,20200701,9469050,旺斯花店礼品鲜花店,12.6,8,936,1,2,2,122
139,20200701,9469051,一花一叶花艺鲜花礼品鲜花店,13.2,19,1898,1,3,3,133
140,20200701,9471210,先花店鲜花礼品鲜花店,14.9,5,325,2,1,1,211
141,20200701,9474808,e多花舍鲜花礼品鲜花店,11.9,1,84,1,1,1,111
142,20200701,9474812,爱都花艺鲜花礼品鲜花店,20.6,0,0,3,1,1,311
143,20200701,9475582,Mrs Liu's花店（龙凤南大街店）,15.3,1,94,2,1,1,211
144,20200701,9475584,爱美鲜花鲜花礼品鲜花店,14.6,0,0,2,1,1,211
145,20200701,9479464,99花艺鲜花礼品鲜花店,15.6,3,221,2,1,1,211
146,20200701,9479881,鲜花朵朵鲜花礼品鲜花店,18.3,13,1070,3,3,3,333
147,20200701,9482632,幸福花园鲜花礼品鲜花店,12.9,8,568,1,2,2,122
148,20200701,9482975,紫藤鲜花婚庆鲜花礼品鲜花店,13.8,1,64,1,1,1,111
149,20200701,9483932,品茗鲜花店鲜花礼品,15.1,10,636,2,2,2,222
150,20200701,9490566,淘花源鲜花礼品鲜花店,10.4,0,0,1,1,1,111
151,20200701,9517628,专爱花店鲜花礼品鲜花店,13.7,0,0,1,1,1,111
152,20200701,9517629,锦艺水族花卉鲜花礼品鲜花店,14.1,0,0,2,1,1,211
153,20200701,9523580,甜蜜花坊鲜花礼品鲜花店,13.8,0,0,1,1,1,111
154,20200701,9529758,花之语鲜花礼品鲜花店,12.8,7,517,1,2,2,122
155,20200701,9529762,爱尚馨缘鲜花礼品鲜花店,13.2,5,646,1,1,2,112
156,20200701,9529764,花之坊鲜花礼品鲜花店,13.8,9,821,1,2,2,122
157,20200701,9529765,众里寻Ta花舍鲜花礼品鲜花店,13.8,6,414,1,2,2,122
158,20200701,9529812,微妮初花坊鲜花礼品鲜花店,23.1,10,1003,3,2,3,323
159,20200701,9529813,蝶恋花鲜花礼品鲜花店,13.1,4,458,1,1,2,112
160,20200701,9544029,花儿朵朵鲜花礼品鲜花店,15.5,1,269,2,1,1,211
161,20200701,9555879,伯爵婚庆鲜花礼品鲜花店,12.6,5,310,1,1,1,111
162,20200701,9555881,締玖鲜花礼品鲜花店,12.9,1,64,1,1,1,111
163,20200701,9555883,鲜花谷花艺鲜花礼品鲜花店,12.7,1,0,1,1,1,111
164,20200701,9556095,百合鲜花,14.2,6,544,2,2,2,222
165,20200701,9556096,青青花卉鲜花礼品鲜花店,12.9,3,186,1,1,1,111
166,20200701,9556129,梦梦鲜花店鲜花礼品,16.7,1,64,3,1,1,311
167,20200701,9557541,半亩花田鲜花礼品鲜花店,14.6,11,816,2,2,2,222
168,20200701,9559158,年年红鲜花坊鲜花礼品鲜花店,13.1,1,71,1,1,1,111
169,20200701,9569416,凤凰花卉鲜花礼品鲜花店,13.7,0,0,1,1,1,111
170,20200701,9569417,胖子花卉鲜花礼品鲜花店,14.9,0,0,2,1,1,211
171,20200701,9569418,浪漫花都鲜花礼品鲜花店,10.5,15,2414.8,1,3,3,133
172,20200701,9569419,倾城花店鲜花礼品鲜花店,12.5,0,0,1,1,1,111
173,20200701,9569422,唯美花艺鲜花礼品鲜花店,15.2,19,1352,2,3,3,233
174,20200701,9575274,Mr.K的花店,17.6,12,788,3,3,2,332
175,20200701,9578421,花幻之境鲜花礼品鲜花店,13.1,1,79,1,1,1,111
176,20200701,9594041,馨语花艺中心鲜花礼品鲜花店,15.7,12,732,3,3,2,332
177,20200701,9594043,浪漫花屋鲜花礼品鲜花店,13.8,6,700,1,2,2,122
178,20200701,9607547,馨语花坊鲜花礼品鲜花店,12.4,0,0,1,1,1,111
179,20200701,9607673,相约玫瑰鲜花礼品鲜花店,21.3,0,0,3,1,1,311
180,20200701,9607674,木子花开鲜花礼品鲜花店,12.4,0,0,1,1,1,111
181,20200701,9607675,俏祥花店鲜花礼品鲜花店,13.7,0,0,1,1,1,111
182,20200701,9608314,花王花艺鲜花礼品鲜花店,20.8,10,769,3,2,2,322
183,20200701,9608429,五三鲜花水果店鲜花礼品鲜花店,12.8,0,0,1,1,1,111
184,20200701,9609375,陌上花开鲜花礼品鲜花店,12.4,0,0,1,1,1,111
185,20200701,9609376,天长地久鲜花礼品鲜花店,15.2,0,0,2,1,1,211
186,20200701,9614734,永恒花艺生活馆鲜花礼品鲜花店,14,1,138,2,1,1,211
187,20200701,9622181,遇见花店鲜花礼品鲜花店,21.3,4,392,3,1,2,312
188,20200701,9628199,小慧花坊（金泰园店）,18.4,1,71,3,1,1,311
189,20200701,9641339,MINE FUN鲜花礼品鲜花店,5.7,0,0,1,1,1,111
190,20200701,9641341,伊人鲜花,0,0,0,1,1,1,111
0,20200601,9024275,花韵花艺馆,18,0,0,3,1,1,311
1,20200601,9024278,友新意鲜花坊,18,23,2596,3,3,3,333
2,20200601,9043306,花之都创意鲜花馆,18,0,0,3,1,1,311
3,20200601,9043308,时初花艺,18,1,0,3,1,1,311
4,20200601,9043310,元寳花店,10.3,0,0,1,1,1,111
5,20200601,9043313,浪漫主题花艺,24,2,86,3,2,2,322
6,20200601,9043314,茗蔓花艺,18,0,0,3,1,1,311
7,20200601,9043317,花坞,18,7,1443,3,3,3,333
8,20200601,9043320,花企网婚庆,18.7,2,299,3,2,3,323
9,20200601,9043425,永恒鲜花,18,6,595,3,3,3,333
10,20200601,9043994,八度花艺,15.5,9,986,3,3,3,333
11,20200601,9043995,情缘婚庆,15.8,4,293,3,3,3,333
12,20200601,9043996,花间时光,18,3,239,3,2,2,322
13,20200601,9127995,柔怡鲜花,11.6,3,281,1,2,3,123
14,20200601,9132125,等你花舍,15,2,207,3,2,2,322
15,20200601,9132229,尚品花店,14.5,0,0,2,1,1,211
16,20200601,9221181,花鲜阁,12,1,64,1,1,2,112
17,20200601,9221238,南园鲜花坊,13.9,3,239,2,2,2,222
18,20200601,9221239,花仙子,10.7,1,68,1,1,2,112
19,20200601,9221240,印象花坊鲜花定制,14.2,2,238,2,2,2,222
20,20200601,9223872,天天花坊,13.8,28,2308,2,3,3,233
21,20200601,9228865,花知语婚典,12.8,0,0,1,1,1,111
22,20200601,9230196,镜花缘花店,16.7,0,0,3,1,1,311
23,20200601,9257821,姐妹鲜花店,11.7,3,361,1,2,3,123
24,20200601,9257829,1°花艺礼品,11.9,2,396,1,2,3,123
25,20200601,9263605,都市花乡,13.4,1,0,1,1,1,111
26,20200601,9263832,花语鲜花坊,15.8,2,210,3,2,2,322
27,20200601,9263833,馨露鲜花,11.9,1,54,1,1,1,111
28,20200601,9266336,珍馨花店,13.6,5,408,1,3,3,133
