,供应商ID,供应商名,城市名,门店ID,门店名称,总成交额(元),预计收入(元),有效订单,笔单价(元),顾客实付金额(元),顾客实付笔单价(元),总支出(元),商家补贴(元),商家补贴力度,流失订单,流失订单预计损失(元),用户原因流失订单,配送原因流失订单数,商家原因流失订单数,其他原因流失订单数,商品金额,包装费,配送费,开始日,结束日
395,22267202676,花非花科技（原邂逅花坊）,渭南,2036103504,邂逅花坊（一凡花店人民路店）,525.0,330.3,3,175.0,367.0,122.33,194.7,158.0,0.3,0,0.0,0,0,0,0,525.0,0,0.0,20201112,20201211
974,22267202676,花非花科技（原邂逅花坊）,郴州,300702344,邂逅花坊（爱尚花坊步行街店）,167.6,112.32,3,55.87,120.8,40.27,55.28,42.8,0.26,0,0.0,0,0,0,0,167.6,0,0.0,20201112,20201211
56,22267202676,花非花科技（原邂逅花坊）,佛山,304992589,邂逅花坊（雅琳花艺乐从大道店）,403.0,265.5,3,134.33,291.0,97.0,137.5,108.0,0.27,0,0.0,0,0,0,0,403.0,0,0.0,20201112,20201211
1027,22267202676,花非花科技（原邂逅花坊）,淄博,2043482903,鑫盛鲜花（南长行街店）,281.1,171.62,3,93.7,186.55,62.18,109.48,91.05,0.32,0,0.0,0,0,0,0,281.1,0,0.0,20201112,20201211
1025,22267202676,花非花科技（原邂逅花坊）,安庆,304882590,邂逅花坊（红星花卉红星路店）,408.2,212.48,3,136.07,236.1,78.7,195.72,172.1,0.42,0,0.0,0,0,0,0,408.2,0,0.0,20201112,20201211
978,22267202676,花非花科技（原邂逅花坊）,宿迁,2042529102,花艺阁（沭阳县店）,176.0,150.3,3,58.67,156.0,52.0,25.7,9.0,0.05,0,0.0,0,0,0,0,176.0,0,0.0,20201112,20201211
979,22267202676,花非花科技（原邂逅花坊）,吉林,170245968,邂逅花坊（花丝雨爱花居东联金店）,456.0,231.3,3,152.0,251.0,83.67,224.7,199.0,0.44,0,0.0,0,0,0,0,456.0,0,0.0,20201112,20201211
67,22267202676,花非花科技（原邂逅花坊）,厦门,2043157297,花与美（新民镇店）,504.2,218.79,3,168.07,239.6,79.87,285.41,261.1,0.52,0,0.0,0,0,0,0,504.2,0,0.0,20201112,20201211
967,22267202676,花非花科技（原邂逅花坊）,宣城,169732196,邂逅花坊（小蜜蜂花店锦城南路店）,147.0,131.4,3,49.0,146.0,48.67,15.6,1.0,0.01,0,0.0,0,0,0,0,147.0,0,0.0,20201112,20201211
436,22267202676,花非花科技（原邂逅花坊）,成都,304882597,邂逅花坊（邂逅繁花新都街道店）,648.1,275.44,3,216.03,305.05,101.68,372.66,342.05,0.53,0,0.0,0,0,0,0,648.1,0,0.0,20201112,20201211
