,开始日期,结束日期,商家ID,商家名称,运营组,省份,城市,是否新增商家,首次上线日期,门店在线状态,（日均）预设营业时长（h）,（日均）在线营业时长（h）,曝光人数,入店人数,下单人数,下单新客人数,入店转化率,下单转化率,推单数,有效订单数,原价交易额,实付交易额,商家补贴金额,商家原因取消订单数,商家拒单数,商家超时未接单数,商家取消不告知用户订单数,缺货导致退款订单数,商家少送错送导致用户退款订单数,商家质量问题导致用户退款订单数,配送原因取消订单数,拣货超时订单数,使用间或完成按钮订单数,平均骑手到店等待时间（min）,平均骑手送货时长（min）,IM会话数,IM回复数,IM回复率,IM1分钟回复数,差评订单数,投诉订单数,平均商家评分,平均商品评分,平均配送评分,平均配送时长（min）,资质类型（仅药品）,资质有效期（仅药品）,cluster
26,20200101,20200131,2666240,花生活鲜花（祥和鲜花）,鲜花组,山东省,青岛,否,20170612,在线,24.0,24.0,15275,192,3,2,1.26,1.56,3,3,2940.0,243.09,2774.91,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,,1
27,20200101,20200131,2731908,花缘花艺,鲜花组,湖南省,长沙,否,20170621,下线,0.0,0.0,4,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,,2
28,20200101,20200131,2880558,花生活鲜花（创意花坊）,鲜花组,安徽省,合肥,否,20170712,在线,24.0,24.0,4314,52,1,1,1.21,1.92,1,1,198.0,145.0,92.0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,100.0,0,0,0,0.0,0.0,0.0,0.0,,,2
29,20200101,20200131,2922099,花生活鲜花（小草堂花艺生活馆）,鲜花组,山西省,太原,否,20170721,在线,24.0,24.0,10440,141,6,4,1.35,4.26,6,4,813.02,397.02,572.0,0,0,0,0,0,0,0,0,0,4,0,0,6,6,100.0,2,0,0,0.0,0.0,0.0,0.0,,,0
30,20200101,20200131,3018522,花生活鲜花（源达花艺）,鲜花组,湖南省,常德,否,20170814,在线,22.0,22.8,21034,209,3,2,0.99,1.44,3,2,449.0,194.0,333.0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,100.0,0,0,0,0.0,0.0,0.0,0.0,,,1
31,20200101,20200131,3027069,花生活鲜花（艺都鲜花）,鲜花组,浙江省,宁波,否,20170801,在线,17.0,17.8,7315,90,2,2,1.23,2.22,2,2,593.0,281.0,390.0,0,0,0,0,0,0,0,0,1,2,0,0,2,2,100.0,2,0,1,0.0,0.0,0.0,0.0,,,0
32,20200101,20200131,3072588,花生活鲜花（如意鲜花）,鲜花组,贵州省,遵义,否,20170809,在线,21.0,21.1,15814,169,7,4,1.07,4.14,8,4,1153.0,640.0,669.0,1,0,1,0,0,0,0,0,0,6,0,0,6,5,83.33,4,0,0,0.0,0.0,0.0,0.0,,,1
33,20200101,20200131,3095162,花生活鲜花（花瓣雨花坊）,鲜花组,天津市,天津,否,20170812,在线,22.0,22.7,9291,114,0,0,1.23,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,50.0,1,0,0,0.0,0.0,0.0,0.0,,,0
34,20200101,20200131,3114926,花生活鲜花（艺博花艺）,鲜花组,河南省,安阳,否,20170818,在线,14.0,14.9,8440,135,2,1,1.6,1.48,2,1,458.0,352.0,145.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,1.0,1.0,1.0,0.0,,,0
35,20200101,20200131,3128450,花生活鲜花（花之恋鲜花店）,鲜花组,浙江省,绍兴,否,20170821,在线,9.0,9.8,6693,276,35,28,4.12,12.68,38,34,21276.0,4563.36,17838.54,0,0,0,0,0,0,0,1,1,41,0,1,11,9,81.82,5,0,0,4.8,4.8,5.0,1.0,,,0
