,Unnamed: 0,供应商ID,供应商名,城市名,门店ID,门店名称,总成交额(元),预计收入(元),有效订单,笔单价(元),顾客实付金额(元),顾客实付笔单价(元),总支出(元),商家补贴(元),商家补贴力度,流失订单,流失订单预计损失(元),用户原因流失订单,配送原因流失订单数,商家原因流失订单数,其他原因流失订单数,商品金额,包装费,配送费,开始日,结束日
631,1121,22267202676,花非花科技（原邂逅花坊）,鞍山,169732235,邂逅花坊（兰馨花艺震兴路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
632,1122,22267202676,花非花科技（原邂逅花坊）,柳州,170246037,邂逅花坊（锦绣花店北雀路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
633,1123,22267202676,花非花科技（原邂逅花坊）,宜宾,169732219,邂逅花坊（米朵花艺翠屏区店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
634,1126,22267202676,花非花科技（原邂逅花坊）,合肥,166924718,邂逅花坊(联投中心店),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
635,1127,22267202676,花非花科技（原邂逅花坊）,烟台,169732199,邂逅花坊（花轩花艺文昌北路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
636,1128,22267202676,花非花科技（原邂逅花坊）,宿迁,2042459204,情意婚庆花店（人民南路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
637,1130,22267202676,花非花科技（原邂逅花坊）,长春,300702811,邂逅花坊（缘梦花艺建设胡同店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
638,1132,22267202676,花非花科技（原邂逅花坊）,抚州,2042569154,迎宾花艺（赣东大道店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
639,1134,22267202676,花非花科技（原邂逅花坊）,抚顺,170246097,邂逅花坊（哚哚花艺贵德街店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
640,1135,22267202676,花非花科技（原邂逅花坊）,荆州,2043368136,强达浪漫花屋,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
641,1136,22267202676,花非花科技（原邂逅花坊）,十堰,167744295,邂逅花坊(花之语朝阳路店),0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
642,1137,22267202676,花非花科技（原邂逅花坊）,上海,2042459213,花知壶（三林路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
643,1140,22267202676,花非花科技（原邂逅花坊）,南京,304902549,邂逅花坊（田园花坊中央路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
644,1141,22267202676,花非花科技（原邂逅花坊）,阳泉,166924654,邂逅花坊（北大西街店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
645,1142,22267202676,花非花科技（原邂逅花坊）,六盘水,2036855273,邂逅花坊（咔哒呢花艺双水街道店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
646,1145,22267202676,花非花科技（原邂逅花坊）,佛山,304992589,邂逅花坊（雅琳花艺乐从大道店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,104.0,1,0,0,0,0.0,0,0.0,20201001,20201031
647,1148,22267202676,花非花科技（原邂逅花坊）,绍兴,166924709,邂逅花坊（暨阳街道店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
648,1151,22267202676,花非花科技（原邂逅花坊）,厦门,167744156,邂逅花坊（新阳北路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
649,1152,22267202676,花非花科技（原邂逅花坊）,合肥,166924913,邂逅花坊（完美鲜花人民中路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20201001,20201031
5,135,22267202676,花非花科技（原邂逅花坊）,北海,336869423,邂逅花坊（如愿花坊贵州路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200801,20200831
12,181,22267202676,花非花科技（原邂逅花坊）,哈尔滨,304942590,邂逅花坊（红太阳鲜花滨州镇店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200801,20200831
16,203,22267202676,花非花科技（原邂逅花坊）,南平,304952577,邂逅花坊（鑫晴花艺延平区店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,809.0,0,0,1,0,0.0,0,0.0,20200801,20200831
17,204,22267202676,花非花科技（原邂逅花坊）,齐齐哈尔,167744307,邂逅花坊（龙沙小区店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200801,20200831
20,213,22267202676,花非花科技（原邂逅花坊）,威海,300682443,邂逅花坊（青艺云光中路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200801,20200831
38,293,22267202676,花非花科技（原邂逅花坊）,合肥,300712711,邂逅花坊（爱的花坊文明南路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200801,20200831
46,327,22267202676,花非花科技（原邂逅花坊）,成都,167744244,柠檬花花店,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200801,20200831
51,344,22267202676,花非花科技（原邂逅花坊）,伊犁哈萨克自治州,166924646,邂逅花坊（解放路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,199.0,1,0,0,0,0.0,0,0.0,20200801,20200831
73,451,22267202676,花非花科技（原邂逅花坊）,贵港,2043492993,新世纪花艺（港北区店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4,621.0,2,2,0,0,0.0,0,0.0,20200801,20200831
79,479,22267202676,花非花科技（原邂逅花坊）,济南,304912659,邂逅花坊（吉祥花艺和平路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200801,20200831
80,487,22267202676,花非花科技（原邂逅花坊）,宜昌,2043177261,皇家花园鲜花（孝子岩路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,144.0,0,0,1,0,0.0,0,0.0,20200801,20200831
81,493,22267202676,花非花科技（原邂逅花坊）,济南,167744320,邂逅花坊（惠雅鲜花店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200801,20200831
91,547,22267202676,花非花科技（原邂逅花坊）,郑州,2042489191,情人草（渔夫子路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200801,20200831
92,569,22267202676,花非花科技（原邂逅花坊）,楚雄彝族自治州,2043177255,醉花樱鲜花苑（龙川镇店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,185.0,0,1,0,0,0.0,0,0.0,20200801,20200831
95,573,22267202676,花非花科技（原邂逅花坊）,杭州,2042459205,爱芳菲（方埠桐千路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200801,20200831
96,584,22267202676,花非花科技（原邂逅花坊）,和田地区,2043157306,千百度鲜花（塔乃依北路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200801,20200831
97,586,22267202676,花非花科技（原邂逅花坊）,哈尔滨,2036084098,邂逅花坊（春色撩人鲜花定制健龙路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200801,20200831
99,594,22267202676,花非花科技（原邂逅花坊）,湖州,304992592,邂逅花坊（百合婚庆天民路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200801,20200831
103,603,22267202676,花非花科技（原邂逅花坊）,西安,335784180,邂逅花坊（心情小站花坊建设西路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200801,20200831
108,630,22267202676,花非花科技（原邂逅花坊）,阿克苏地区,2042499364,美丽心情鲜花超市（团结路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200801,20200831
113,661,22267202676,花非花科技（原邂逅花坊）,九江,304892609,邂逅花坊（唯尚鲜花湓城路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200801,20200831
118,703,22267202676,花非花科技（原邂逅花坊）,昌吉回族自治州,166924797,邂逅花坊（雄仔婚庆鲜花礼品呼图壁县店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,395.0,1,0,1,0,0.0,0,0.0,20200801,20200831
124,765,22267202676,花非花科技（原邂逅花坊）,达州,2042539246,红之花花艺（渠南街道店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200801,20200831
128,784,22267202676,花非花科技（原邂逅花坊）,株洲,166924653,邂逅花坊（花样年华金帝商业广场店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200801,20200831
129,785,22267202676,花非花科技（原邂逅花坊）,喀什地区,166924683,邂逅花坊（克孜勒都维路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200801,20200831
136,838,22267202676,花非花科技（原邂逅花坊）,三门峡,170246036,邂逅花坊（格格鲜花坊黄河路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200801,20200831
169,1009,22267202676,花非花科技（原邂逅花坊）,乌鲁木齐,166924910,邂逅花坊（花仟朵新兴街店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2,313.0,0,0,2,0,0.0,0,0.0,20200801,20200831
173,1035,22267202676,花非花科技（原邂逅花坊）,广元,166924844,邂逅花坊（七月拾花利州区店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200801,20200831
174,1054,22267202676,花非花科技（原邂逅花坊）,常德,2036825263,邂逅花坊（好日子婚庆鲜花桃源县店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200801,20200831
175,1055,22267202676,花非花科技（原邂逅花坊）,牡丹江,2043362462,罗曼花舍（南市街店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200801,20200831
0,59,22267202676,花非花科技（原邂逅花坊）,湖州,2043177263,花颜花艺（织里镇店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200901,20200930
3,62,22267202676,花非花科技（原邂逅花坊）,兰州,336809803,邂逅花坊（先花店一悟路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200901,20200930
6,66,22267202676,花非花科技（原邂逅花坊）,贵阳,300682428,邂逅花坊（朵朵花坊碧海南路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200901,20200930
22,108,22267202676,花非花科技（原邂逅花坊）,东莞,300712714,邂逅花坊（花缘花店通莱街店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200901,20200930
25,118,22267202676,花非花科技（原邂逅花坊）,周口,335774225,邂逅花坊（花堡广场东路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,29.9,1,0,0,0,0.0,0,0.0,20200901,20200930
28,125,22267202676,花非花科技（原邂逅花坊）,温州,2036081701,邂逅花坊（珊珊花艺昌荣路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200901,20200930
36,159,22267202676,花非花科技（原邂逅花坊）,重庆,305185462,邂逅花坊（花仙子花坊梁山街道店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200901,20200930
44,171,22267202676,花非花科技（原邂逅花坊）,合肥,2036091502,花间花坊鲜花店（名城沁园店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200901,20200930
46,174,22267202676,花非花科技（原邂逅花坊）,长沙,2043167118,雅心花艺（圭塘街道店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200901,20200930
56,187,22267202676,花非花科技（原邂逅花坊）,长治,167744253,邂逅花坊（雅韵鲜花店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200901,20200930
62,201,22267202676,花非花科技（原邂逅花坊）,淮安,169732206,邂逅花坊（关天培路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200901,20200930
66,211,22267202676,花非花科技（原邂逅花坊）,资阳,2043167116,千与千寻花坊（池南路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200901,20200930
73,222,22267202676,花非花科技（原邂逅花坊）,六安,336992445,馨丽花店（解放南路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200901,20200930
91,271,22267202676,花非花科技（原邂逅花坊）,重庆,167744254,邂逅花坊（花开时节横街店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200901,20200930
93,276,22267202676,花非花科技（原邂逅花坊）,合肥,304982545,邂逅花坊（唯爱花店金寨路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200901,20200930
94,277,22267202676,花非花科技（原邂逅花坊）,武汉,335786149,邂逅花坊（伊人花店西交路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200901,20200930
97,281,22267202676,花非花科技（原邂逅花坊）,温州,300712257,邂逅花坊（盈祥瓯北街店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200901,20200930
100,289,22267202676,花非花科技（原邂逅花坊）,长春,166924751,邂逅花坊（民康路店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200901,20200930
106,298,22267202676,花非花科技（原邂逅花坊）,重庆,337002428,洛施花艺（心缘鲜花桂馥大道店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200901,20200930
113,322,22267202676,花非花科技（原邂逅花坊）,天津,2036935317,邂逅花坊（大世界鲜花建昌道街店）,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,20200901,20200930
