,poi_id,门店名,品牌ID,品牌名,省份,城市,城市等级,蜂窝,首次上线时间,一级品类,二级品类,在线商品数,提单数,推单数,订单数,原价交易额,实付交易额,非异订单数,商家配送延迟订单数,商家拒单订单数,商家不接单订单数,商家取消不告知订单数,商家违规投诉订单数,美团配送延迟订单数,因美团配送原因取消订单数,曝光人数,进店人数,成单用户数
0,4357084,婕拉花艺,0,,河北省,张家口,D1,宣化区,20180129.0,鲜花绿植,鲜花店,94,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1773,23,0
0,5588201,俪缘花艺鲜花店,100009539,花西拾鲜花,河北省,张家口,D1,桥西区,20180811.0,鲜花绿植,鲜花店,258,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1079,30,0
0,1449953,花匠先生(海艳花艺鲜花店),100030827,花匠先生,河北省,张家口,D1,银座,20160902.0,鲜花绿植,鲜花店,560,3,3,3,614.0,284.0,0,0,0,0,0,0,0,0,3790,43,3
0,9630382,蘭亭花卉（宣化路店）,100035487,花专家,河北省,张家口,D1,桥东区,20200729.0,鲜花绿植,鲜花店,324,5,5,5,500.0,500.0,0,0,0,0,0,0,0,0,3112,40,5
0,6524306,花之语,0,,河北省,张家口,D1,桥西区,20190128.0,鲜花绿植,鲜花店,15,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,247,25,0
0,9201940,花香语鲜花婚庆,100004099,邂逅花坊鲜花,河北省,张家口,D1,,20200529.0,鲜花绿植,鲜花店,612,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1035,22,0
0,6332216,花间密码,0,,河北省,张家口,D1,高新区,20181226.0,鲜花绿植,鲜花店,25,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,137,0,0
0,890655,花世界,0,,河北省,张家口,D1,高新区,20160427.0,鲜花绿植,鲜花店,256,8,5,4,1332.0,672.0,0,0,0,0,0,0,0,0,1785,72,4
0,979299,随心花苑,0,,河北省,张家口,D1,银座,20160517.0,鲜花绿植,鲜花店,24,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,107,0,0
0,7255449,熊先生鲜花（天天鲜花）,100030825,熊先生鲜花,河北省,张家口,D1,银座,20190614.0,鲜花绿植,鲜花店,408,6,6,6,676.0,588.0,0,0,0,0,0,0,0,0,6009,75,6
0,1958942,鲜花坊（好心情鲜花店）,27557,鲜花坊,河北省,张家口,D1,宣化区,20170119.0,鲜花绿植,鲜花店,285,1,1,1,368.0,129.0,1,1,0,0,0,0,0,0,2696,66,1
0,9710057,开心花卉（百合·康乃馨·向日葵）,100034936,玫瑰说,河北省,张家口,D1,桥西区,20200810.0,鲜花绿植,鲜花店,293,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,1245,9,0
