订单编号,下单时间,店铺名称,店铺ID,店铺所在城市,订单总金额（元）,退款金额（元）,退款商品,商家服务问题,,,,,,,,
"6429892559640493	","2020-03-16 13:12:28	","花生活鲜花（春季花艺）	","642989	","合肥	","245.00	","0.00	",,"用户催单；	",,,,,,,,
"34680331448383516	","2020-03-08 14:39:23	","花生活鲜花（家美园艺）	","3468033	","上海	","398.00	","0.00	",,"用户催单；	",,,,,,,,
"7141422073735011	","2020-03-08 09:43:15	","花生活鲜花（情意浓花店）	","714142	","温州	","373.00	","0.00	",,"用户催单；	",,,,,,,,
"26662400251865799	","2020-03-08 12:22:42	","花生活鲜花（祥和鲜花）	","2666240	","青岛	","216.00	","0.00	",,"拣货超时；	",,,,,,,,
"29220994046540267	","2020-03-08 15:38:34	","花生活鲜花（小草堂花艺生活馆）	","2922099	","太原	","296.00	","0.00	",,"拣货超时；	",,,,,,,,
"19718690752613205	","2020-03-08 16:29:20	","花生活鲜花（嘿花哨花艺）	","1971869	","遵义	","208.00	","208.00	","『皓月当空』11枝红玫瑰搭配满天星礼盒38妇女节爆款送女友*数量1	","缺货导致退款；	",,,,,,,,
"34680332017194328	","2020-03-14 12:26:07	","花生活鲜花（家美园艺）	","3468033	","上海	","138.00	","0.00	",,"拣货超时；	",,,,,,,,
"7141420045538585	","2020-03-25 08:23:07	","花生活鲜花（情意浓花店）	","714142	","温州	","518.00	","0.00	",,"用户催单；	",,,,,,,,
"29220992695248334	","2020-03-22 11:06:33	","花生活鲜花（小草堂花艺生活馆）	","2922099	","太原	","216.00	","0.00	",,"用户催单；	",,,,,,,,
"15231424046540267	","2020-03-08 11:51:44	","花生活鲜花（明珠鲜花坊）	","1523142	","西宁	","378.00	","0.00	",,"用户催单；	",,,,,,,,
"34680333681389853	","2020-03-14 12:43:44	","花生活鲜花（家美园艺）	","3468033	","上海	","211.00	","0.00	",,"拣货超时；	",,,,,,,,
"19718691097789639	","2020-03-08 16:29:41	","花生活鲜花（嘿花哨花艺）	","1971869	","遵义	","345.00	","345.00	","『枫叶流丹』11枝红玫瑰搭配白桔梗礼盒情人节送女友鲜花店*数量1	","缺货导致退款；	",,,,,,,,
"30270694046540267	","2020-03-08 08:14:42	","花生活鲜花（艺都鲜花）	","3027069	","宁波	","236.00	","0.00	",,"拣货超时；	",,,,,,,,
"15231421079346474	","2020-03-08 11:58:34	","花生活鲜花（明珠鲜花坊）	","1523142	","西宁	","296.00	","0.00	",,"拣货超时；用户催单；	",,,,,,,,
"30270691079346474	","2020-03-08 09:33:00	","花生活鲜花（艺都鲜花）	","3027069	","宁波	","256.00	","0.00	",,"拣货超时；	",,,,,,,,
"34680332694263101	","2020-03-14 13:42:22	","花生活鲜花（家美园艺）	","3468033	","上海	","131.00	","0.00	",,"拣货超时；	",,,,,,,,
"20060701079346474	","2020-03-08 10:48:50	","花生活鲜花（伊馨花坊）	","2006070	","上海	","278.00	","0.00	",,"拣货超时；用户催单；	",,,,,,,,
"34680334050024121	","2020-03-14 16:46:51	","花生活鲜花（家美园艺）	","3468033	","上海	","245.00	","0.00	",,"拣货超时；	",,,,,,,,
"20951230961429498	","2020-03-08 09:18:52	","花生活鲜花（遇见花艺馆）	","2095123	","郴州	","236.00	","0.00	",,"用户催单；	",,,,,,,,
"34680333948536303	","2020-03-14 17:52:00	","花生活鲜花（家美园艺）	","3468033	","上海	","245.00	","0.00	",,"拣货超时；	",,,,,,,,
"20951233278305652	","2020-03-08 10:26:44	","花生活鲜花（遇见花艺馆）	","2095123	","郴州	","236.00	","0.00	",,"用户催单；	",,,,,,,,
"34680332543721461	","2020-03-15 09:26:46	","花生活鲜花（家美园艺）	","3468033	","上海	","338.00	","0.00	",,"拣货超时；	",,,退款信息,门店/顾客,退款理由,取消原因,退款情况,退款备注
"34680330370061302	","2020-03-17 12:33:02	","花生活鲜花（家美园艺）	","3468033	","上海	","245.00	","0.00	",,"拣货超时；	",,,订单取消自动确认退款,,订单取消时，自动退款,下单超时未确认，系统自动取消,,店铺已打烊
