日期,订单编号,下单时间,接单时长,店铺名称,店铺ID,店铺所在城市,订单支付类型,订单状态,订单配送状态,是否预订单,订单总金额,订单折扣后金额,平台承担活动金额,商家承担活动金额,商品分类,商品名称,UPC码,商品SKU码,商品销售数量,商品原价销售额,商品实付销售额,商品总补贴金额,商品商家补贴金额,商品平台补贴金额,是否部分退款商品,部分退款商品数量,部分退款商品金额,订单小额付款,配送费,是否活动订单,优惠活动,是否催单,回复状态,商家回复内容,配送时长,打包袋费,订单完成时间,订单取消原因（仅取消订单）
"	20200601-20200630","92953251494773076	","2020-06-24 14:54:17	",89秒,"美家鲜花礼品店	","9295325	","岳阳	",在线支付,订单完成,配送中,否,418.00,143.00,0.00,280.00,"毕业季	",【永恒】粉色满天星花束毕业季花礼,,,1,179.00,66.67,112.33,112.33,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【永恒】粉色满天星花束毕业季花礼原价179.0元现价69.0元/购买【和蔼可亲】11枝粉玫瑰礼盒原价239.0元现价79.0元/门店新客立减5.0元/送3元商家代金券	",否,未回复,,0.00分,0.00,"2020-06-24 21:51:15	",
"	20200601-20200630","92953251494773076	","2020-06-24 14:54:17	",89秒,"美家鲜花礼品店	","9295325	","岳阳	",在线支付,订单完成,配送中,否,418.00,143.00,0.00,280.00,"感恩父亲节	",【和蔼可亲】11枝粉玫瑰礼盒,,,1,239.00,76.33,162.67,162.67,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【永恒】粉色满天星花束毕业季花礼原价179.0元现价69.0元/购买【和蔼可亲】11枝粉玫瑰礼盒原价239.0元现价79.0元/门店新客立减5.0元/送3元商家代金券	",否,未回复,,0.00分,0.00,"2020-06-24 21:51:15	",
"	20200601-20200630","92953253257997866	","2020-06-24 18:46:40	",70秒,"美家鲜花礼品店	","9295325	","岳阳	",在线支付,订单完成,用户提交订单,否,229.00,64.00,0.00,170.00,"爱情告白	",【爱一世】9枝粉玫瑰搭配满天星简约花束,,,1,229.00,64.00,165.00,165.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【爱一世】9枝粉玫瑰搭配满天星简约花束原价229.0元现价69.0元/门店新客立减5.0元	",否,已回复,,0.00分,0.00,"2020-06-24 21:19:37	",
"	20200601-20200630","92953250362605194	","2020-06-27 22:29:22	",0秒,"美家鲜花礼品店	","9295325	","岳阳	",在线支付,订单完成,配送中,是,229.00,64.00,0.00,170.00,"爱情告白	",【爱一世】9枝粉玫瑰搭配满天星简约花束,,,1,229.00,64.00,165.00,165.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【爱一世】9枝粉玫瑰搭配满天星简约花束原价229.0元现价69.0元/门店新客立减5.0元	",否,已回复,,0.00分,0.00,"2020-06-28 11:53:39	",
"	20200601-20200630","92953250223711193	","2020-06-27 22:32:33	",0秒,"美家鲜花礼品店	","9295325	","岳阳	",在线支付,订单完成,用户提交订单,是,229.00,64.00,0.00,170.00,"爱情告白	",【爱一世】9枝粉玫瑰搭配满天星简约花束,,,1,229.00,64.00,165.00,165.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【爱一世】9枝粉玫瑰搭配满天星简约花束原价229.0元现价69.0元/门店新客立减5.0元	",否,未回复,,0.00分,0.00,"2020-06-28 23:15:49	",
"	20200601-20200630","92953253126568044	","2020-06-29 11:44:23	",186秒,"美家鲜花礼品店	","9295325	","岳阳	",在线支付,订单完成,用户提交订单,否,229.00,64.00,0.00,170.00,"爱情告白	",【爱一世】9枝粉玫瑰搭配满天星简约花束,,,1,229.00,64.00,165.00,165.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【爱一世】9枝粉玫瑰搭配满天星简约花束原价229.0元现价69.0元/门店新客立减5.0元	",否,已回复,"谢谢您~千言万语都在这一句谢谢里~我们继续加油~	",0.00分,0.00,"2020-06-29 13:17:06	",
"	20200601-20200630","92953251800154328	","2020-06-29 18:30:29	",77秒,"美家鲜花礼品店	","9295325	","岳阳	",在线支付,订单完成,用户提交订单,否,229.00,56.00,5.00,173.00,"爱情告白	",【爱一世】9枝粉玫瑰搭配满天星简约花束,,,1,229.00,56.00,173.00,168.00,5.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/用户使用了会员红包减5元/购买【爱一世】9枝粉玫瑰搭配满天星简约花束原价229.0元现价69.0元/门店新客立减5.0元/用户使用了商家代金券减3元	",否,已回复,,0.00分,0.00,"2020-06-30 00:34:35	",
"	20200601-20200630","92953252983694986	","2020-06-29 22:03:34	",0秒,"美家鲜花礼品店	","9295325	","岳阳	",在线支付,订单完成,用户提交订单,是,459.00,271.00,0.00,193.00,"艾尚推荐	",【真诚的爱】52枝粉玫瑰鲜花花束,,"58	",1,459.00,271.00,188.00,188.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【真诚的爱】52枝粉玫瑰鲜花花束原价459.0元现价279.0元/门店新客立减5.0元/送3元商家代金券/用户使用了商家代金券减3元	",否,已回复,,0.00分,0.00,"2020-06-30 12:29:34	",
"	20200601-20200630","92953252871595796	","2020-06-30 11:26:58	",0秒,"美家鲜花礼品店	","9295325	","岳阳	",在线支付,订单取消,用户提交订单,否,259.00,148.00,0.00,116.00,"致童年拾童趣	",【致童年】养乐多,,,1,259.00,148.00,111.00,111.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【致童年】养乐多原价259.0元现价148.0元	",否,未回复,,0.00分,0.00,,"其他	"
"	20200601-20200630","92953250127887422	","2020-06-30 13:20:14	",69秒,"美家鲜花礼品店	","9295325	","岳阳	",在线支付,订单完成,配送中,否,289.00,119.00,0.00,175.00,"感恩父亲节	",【慈祥】11枝香槟玫瑰+5朵白百合鲜花花束,,,1,289.00,119.00,170.00,170.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【慈祥】11枝香槟玫瑰+5朵白百合鲜花花束原价289.0元现价119.0元	",否,未回复,,0.00分,0.00,"2020-06-30 20:46:37	",
"	20200601-20200630","92953250979632448	","2020-06-30 13:32:33	",61秒,"美家鲜花礼品店	","9295325	","岳阳	",在线支付,订单完成,配送中,否,259.00,148.00,0.00,116.00,"致童年拾童趣	",【致童年】养乐多,,,1,259.00,148.00,111.00,111.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【致童年】养乐多原价259.0元现价148.0元	",否,未回复,,0.00分,0.00,"2020-06-30 20:56:13	",
"	20200601-20200630","92953882512213938	","2020-06-15 20:55:26	",0秒,"田美花艺	","9295388	","丹东	",在线支付,订单完成,配送中,是,229.00,86.00,0.00,148.00,"爱情告白	",【爱一世】9枝粉玫瑰搭配满天星简约花束,,,1,229.00,86.00,143.00,143.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【爱一世】9枝粉玫瑰搭配满天星简约花束原价229.0元现价89.0元/门店新客立减3.0元/送3元商家代金券	",否,已回复,"感谢您的惠顾与评价，花艺师会用心做好每一束花，把订花人的爱传递给收花人，期待您的再次光临，祝您生活愉快！	",0.00分,0.00,"2020-06-15 21:33:54	",
"	20200601-20200630","92953882882200757	","2020-06-15 21:08:26	",0秒,"田美花艺	","9295388	","丹东	",在线支付,订单完成,配送中,是,229.00,86.00,0.00,148.00,"爱情告白	",【爱一世】9枝粉玫瑰搭配满天星简约花束,,,1,229.00,86.00,143.00,143.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【爱一世】9枝粉玫瑰搭配满天星简约花束原价229.0元现价89.0元/门店新客立减3.0元/送3元商家代金券	",否,已回复,,0.00分,0.00,"2020-06-16 08:35:42	",
"	20200601-20200630","92953881349265922	","2020-06-15 21:09:44	",0秒,"田美花艺	","9295388	","丹东	",在线支付,订单完成,配送中,是,229.00,86.00,0.00,148.00,"爱情告白	",【爱一世】9枝粉玫瑰搭配满天星简约花束,,,1,229.00,86.00,143.00,143.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【爱一世】9枝粉玫瑰搭配满天星简约花束原价229.0元现价89.0元/门店新客立减3.0元/送3元商家代金券	",否,已回复,,0.00分,0.00,"2020-06-16 08:35:58	",
"	20200601-20200630","92953881755763704	","2020-06-15 21:09:49	",0秒,"田美花艺	","9295388	","丹东	",在线支付,订单完成,配送中,是,229.00,83.00,0.00,151.00,"爱情告白	",【爱一世】9枝粉玫瑰搭配满天星简约花束,,,1,229.00,83.00,146.00,146.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【爱一世】9枝粉玫瑰搭配满天星简约花束原价229.0元现价89.0元/门店新客立减3.0元/送3元商家代金券/用户使用了商家代金券减3元	",否,已回复,,0.00分,0.00,"2020-06-16 08:29:38	",
"	20200601-20200630","92953880964435488	","2020-06-15 21:10:06	",0秒,"田美花艺	","9295388	","丹东	",在线支付,订单完成,配送中,是,229.00,86.00,0.00,148.00,"爱情告白	",【爱一世】9枝粉玫瑰搭配满天星简约花束,,,1,229.00,86.00,143.00,143.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【爱一世】9枝粉玫瑰搭配满天星简约花束原价229.0元现价89.0元/门店新客立减3.0元/送3元商家代金券	",否,已回复,"感谢您的惠顾与评价，花艺师会用心做好每一束花，把订花人的爱传递给收花人，期待您的再次光临，祝您生活愉快！	",0.00分,0.00,"2020-06-15 22:19:49	",
"	20200601-20200630","92953882418905312	","2020-06-22 09:53:59	",25秒,"田美花艺	","9295388	","丹东	",在线支付,订单完成,配送中,否,229.00,66.00,0.00,168.00,"爱情告白	",【爱一世】9枝粉玫瑰搭配满天星简约花束,,,1,229.00,66.00,163.00,163.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【爱一世】9枝粉玫瑰搭配满天星简约花束原价229.0元现价69.0元/门店新客立减3.0元	",否,未回复,,0.00分,0.00,"2020-06-22 21:15:17	",
"	20200601-20200630","92953880362605194	","2020-06-27 13:56:54	",81秒,"田美花艺	","9295388	","丹东	",在线支付,订单完成,配送中,否,129.00,54.00,0.00,75.00,"爱情告白	",【特别的你】6枝粉玫瑰鲜花花束,,,1,129.00,54.00,75.00,75.00,0.00,否,0,0.00,0.00,0.00,是,"购买【特别的你】6枝粉玫瑰鲜花花束原价129.0元现价59.0元/门店新客立减5.0元	",否,未回复,,0.00分,0.00,"2020-06-27 21:21:02	",
"	20200601-20200630","92979471813158088	","2020-06-23 12:21:20	",197秒,"丰颖花艺	","9297947	","辽源	",在线支付,订单完成,用户提交订单,否,289.00,186.00,0.00,108.00,"感恩父亲节	",【慈祥】11枝香槟玫瑰+5朵白百合鲜花花束,,,1,289.00,186.00,103.00,103.00,0.00,否,0,0.00,0.00,0.00,是,"满200.0元减100.0元/满69.0元赠精美贺卡下单备注贺卡内容*1/门店新客立减3.0元/送3元商家代金券	",否,已回复,"炎炎夏日，鲜花传情，感谢您的喜欢和信任，每一束鲜花都是经过花艺师精心设计细心制作的。您是有眼光的，我们是负责任的。赠人玫瑰手有余香，初心不改，花开相爱。再次感谢您的鼓励和支持，祝您生活愉快，工作顺利！修改	",0.00分,0.00,"2020-06-23 13:50:42	",
"	20200601-20200630","92979473586875043	","2020-06-28 16:09:44	",0秒,"丰颖花艺	","9297947	","辽源	",在线支付,订单完成,配送中,是,259.00,99.00,5.00,160.00,"19枝玫瑰专区	",【浪漫时光】19枝红玫瑰鲜花花束,,"105	",1,259.00,99.00,160.00,155.00,5.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/用户使用了会员红包减5元/购买【浪漫时光】19枝红玫瑰鲜花花束原价259.0元现价109.0元/门店新客立减5.0元/送3元商家代金券	",否,已回复,,0.00分,0.00,"2020-06-29 10:10:56	",
"	20200601-20200630","92979472871595796	","2020-06-30 10:29:06	",29秒,"丰颖花艺	","9297947	","辽源	",在线支付,订单完成,配送中,否,269.00,169.00,0.00,105.00,"满天星辰	",【永恒誓言】粉色满天星鲜花花束,,"35	",1,269.00,169.00,100.00,100.00,0.00,否,0,0.00,0.00,0.00,是,"满200.0元减100.0元/满69.0元赠精美贺卡下单备注贺卡内容*1	",否,已回复,"~(￣▽￣)~质量、服务、速度一直是我们的追求，认真对待每位顾客，让每一张面孔在收到鲜花时都能绽放最美丽的笑容。	",0.00分,0.00,"2020-06-30 11:47:43	",
"	20200601-20200630","93145992411492991	","2020-06-20 07:14:47	",38秒,"木子花开	","9314599	","铁岭	",在线支付,订单完成,用户提交订单,否,229.00,66.00,0.00,168.00,"爱情告白	",【爱一世】9枝粉玫瑰搭配满天星简约花束,,,1,229.00,66.00,163.00,163.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【爱一世】9枝粉玫瑰搭配满天星简约花束原价229.0元现价69.0元/门店新客立减3.0元	",否,未回复,,0.00分,0.00,"2020-06-20 13:11:58	",
"	20200601-20200630","93146031990498538	","2020-06-21 10:27:01	",89秒,"鲜花婚庆	","9314603	","天津	",在线支付,订单完成,配送中,否,179.00,86.00,0.00,98.00,"感恩父亲节	",【和蔼】3枝向日葵+4枝香槟玫瑰鲜花花束,,,1,179.00,86.00,93.00,93.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【和蔼】3枝向日葵+4枝香槟玫瑰鲜花花束原价179.0元现价89.0元/门店新客立减3.0元/送3元商家代金券	",否,未回复,,0.00分,0.00,"2020-06-21 23:29:48	",
"	20200601-20200630","93146062400733140	","2020-06-20 14:35:03	",25秒,"茂业喜庆天地	","9314606	","湘西土家族苗族自治州	",在线支付,订单完成,配送中,否,459.00,356.00,0.00,108.00,"52枝玫瑰专区	",【罗曼蒂克】52枝红玫瑰鲜花花束,,,1,459.00,356.00,103.00,103.00,0.00,否,0,0.00,0.00,0.00,是,"满200.0元减100.0元/满69.0元赠精美贺卡下单备注贺卡内容*1/门店新客立减3.0元/送3元商家代金券	",否,未回复,,0.00分,0.00,"2020-06-20 21:36:38	",
"	20200601-20200630","93146061990498538	","2020-06-21 20:21:07	",50秒,"茂业喜庆天地	","9314606	","湘西土家族苗族自治州	",在线支付,订单完成,配送中,否,229.00,66.00,0.00,168.00,"爱情告白	",【爱一世】9枝粉玫瑰搭配满天星简约花束,,,1,229.00,66.00,163.00,163.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【爱一世】9枝粉玫瑰搭配满天星简约花束原价229.0元现价69.0元/门店新客立减3.0元	",否,未回复,,0.00分,0.00,"2020-06-22 01:38:21	",
"	20200601-20200630","93146063857583294	","2020-06-22 15:49:47	",62秒,"茂业花店	","9314606	","湘西土家族苗族自治州	",在线支付,订单完成,配送中,否,229.00,66.00,0.00,168.00,"爱情告白	",【爱一世】9枝粉玫瑰搭配满天星简约花束,,,1,229.00,66.00,163.00,163.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【爱一世】9枝粉玫瑰搭配满天星简约花束原价229.0元现价69.0元/门店新客立减3.0元	",否,未回复,,0.00分,0.00,"2020-06-22 22:38:02	",
"	20200601-20200630","93146062418905312	","2020-06-22 13:31:09	",131秒,"茂业花店	","9314606	","湘西土家族苗族自治州	",在线支付,订单完成,配送中,否,239.00,73.00,0.00,171.00,"爱情告白	",【一吻之间】11枝红玫瑰鲜花花束,,,1,239.00,73.00,166.00,166.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【一吻之间】11枝红玫瑰鲜花花束原价239.0元现价79.0元/门店新客立减3.0元/送3元商家代金券/用户使用了商家代金券减3元	",否,未回复,,0.00分,0.00,"2020-06-22 20:52:24	",
"	20200601-20200630","93146064028531005	","2020-06-24 14:03:41	",52秒,"茂业花店	","9314606	","湘西土家族苗族自治州	",在线支付,订单完成,配送中,否,229.00,64.00,0.00,170.00,"爱情告白	",【爱一世】9枝粉玫瑰搭配满天星简约花束,,,1,229.00,64.00,165.00,165.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【爱一世】9枝粉玫瑰搭配满天星简约花束原价229.0元现价69.0元/门店新客立减5.0元	",否,未回复,,0.00分,0.00,"2020-06-24 21:12:53	",
"	20200601-20200630","93146061562630905	","2020-06-26 13:29:09	",205秒,"茂业花店	","9314606	","湘西土家族苗族自治州	",在线支付,订单完成,配送中,否,239.00,74.00,0.00,170.00,"爱情告白	",【我心永恒】11枝红玫瑰鲜花花束,,,1,239.00,74.00,165.00,165.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【我心永恒】11枝红玫瑰鲜花花束原价239.0元现价79.0元/门店新客立减5.0元/送3元商家代金券	",否,未回复,,0.00分,0.00,"2020-06-26 20:53:55	",
"	20200601-20200630","93146060362605194	","2020-06-27 06:25:27	",0秒,"茂业花店	","9314606	","湘西土家族苗族自治州	",在线支付,订单完成,配送中,是,259.00,104.00,0.00,160.00,"爱的惊喜	",【浪漫速递】19枝红玫瑰鲜花礼盒,,"16	",1,259.00,104.00,155.00,155.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【浪漫速递】19枝红玫瑰鲜花礼盒原价259.0元现价109.0元/门店新客立减5.0元/送3元商家代金券	",否,已回复,"您喜欢就好的，我们知道您订购的绝不仅仅是一束鲜花，而是您的一份深情，能为您完美的传递这份感情是我们应该并努力做到的。希望在您心中，我们是一家您可以信赖的花店！祝您开心快乐每一天！	",0.00分,0.00,"2020-06-27 09:16:45	",
"	20200601-20200630","93146060223711193	","2020-06-27 12:55:19	",0秒,"茂业花店	","9314606	","湘西土家族苗族自治州	",在线支付,订单已处理,用户提交订单,是,259.00,134.00,0.00,130.00,"满天星辰	",【情投意合】蓝色满天星鲜花花束,,"37	",1,259.00,134.00,125.00,125.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【情投意合】蓝色满天星鲜花花束原价259.0元现价139.0元/门店新客立减5.0元/送3元商家代金券	",否,未回复,,0.00分,0.00,,
"	20200601-20200630","93146060272445555	","2020-06-28 16:43:33	",92秒,"茂业花店	","9314606	","湘西土家族苗族自治州	",在线支付,订单完成,配送中,否,239.00,94.00,0.00,150.00,"感恩父亲节	",【问候】3枝向日葵+7枝香槟玫瑰鲜花花束,,,1,239.00,94.00,145.00,145.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【问候】3枝向日葵+7枝香槟玫瑰鲜花花束原价239.0元现价99.0元/门店新客立减5.0元/送3元商家代金券	",否,已回复,,0.00分,0.00,"2020-06-28 17:51:46	",
"	20200601-20200630","93146063586875043	","2020-06-28 13:27:23	",47秒,"茂业花店	","9314606	","湘西土家族苗族自治州	",在线支付,订单完成,配送中,否,299.00,144.00,0.00,160.00,"33枝玫瑰专区	",【浓情蜜意】33枝红玫瑰黑纱鲜花花束,,"95	",1,299.00,144.00,155.00,155.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【浓情蜜意】33枝红玫瑰黑纱鲜花花束原价299.0元现价149.0元/门店新客立减5.0元/送3元商家代金券	",否,未回复,,0.00分,0.00,"2020-06-28 20:43:07	",
"	20200601-20200630","93146063126568044	","2020-06-29 10:17:00	",0秒,"茂业花店	","9314606	","湘西土家族苗族自治州	",在线支付,订单取消,用户提交订单,否,299.00,136.00,5.00,163.00,"爱情告白	",【罗曼蒂克】19枝蓝色妖姬+2只小熊鲜花礼盒,,,1,299.00,136.00,163.00,158.00,5.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/用户使用了会员红包减5元/购买【罗曼蒂克】19枝蓝色妖姬+2只小熊鲜花礼盒原价299.0元现价149.0元/门店新客立减5.0元/送3元商家代金券/用户使用了商家代金券减3元	",否,未回复,,0.00分,0.00,,"其他	"
"	20200601-20200630","93146061800154328	","2020-06-29 10:25:36	",10秒,"茂业花店	","9314606	","湘西土家族苗族自治州	",在线支付,订单完成,配送中,否,299.00,141.00,0.00,163.00,"爱情告白	",【罗曼蒂克】19枝蓝色妖姬+2只小熊鲜花礼盒,,,1,299.00,141.00,158.00,158.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【罗曼蒂克】19枝蓝色妖姬+2只小熊鲜花礼盒原价299.0元现价149.0元/门店新客立减5.0元/送3元商家代金券/用户使用了商家代金券减3元	",是,未回复,,0.00分,0.00,"2020-06-29 15:12:12	",
"	20200601-20200630","93146062871595796	","2020-06-30 16:10:26	",76秒,"茂业花店	","9314606	","湘西土家族苗族自治州	",在线支付,订单完成,配送中,否,329.00,159.00,0.00,175.00,"感恩父亲节	",【堂堂正正】6枝香槟玫瑰+6朵白百合+3枝向日葵鲜花花束,,,1,329.00,159.00,170.00,170.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【堂堂正正】6枝香槟玫瑰+6朵白百合+3枝向日葵鲜花花束原价329.0元现价159.0元	",否,已回复,"亲亲，谢谢您在茫茫花海中选择了我们花花，如果您看见了我们的留言可以跟我们联系，我们一定会给您一个满意的处理方案，谢谢您了，祝您生活愉快！	",0.00分,0.00,"2020-06-30 16:31:37	",
"	20200601-20200630","93146092400733140	","2020-06-20 16:20:09	",0秒,"Mr.Liu's花店	","9314609	","吕梁	",在线支付,订单完成,配送中,是,219.00,83.00,0.00,141.00,"感恩父亲节	",【坚强】5枝向日葵鲜花花束,,,1,219.00,83.00,136.00,136.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【坚强】5枝向日葵鲜花花束原价219.0元现价89.0元/门店新客立减3.0元/送3元商家代金券/用户使用了商家代金券减3元	",否,已回复,,0.00分,0.00,"2020-06-21 10:52:29	",
"	20200601-20200630","93146091800154328	","2020-06-29 13:13:15	",12秒,"Mr.Liu's花店	","9314609	","吕梁	",在线支付,订单完成,配送中,否,129.00,64.00,0.00,70.00,"毕业季	",【流年】3枝向日葵鲜花花束毕业季花礼,,,1,129.00,64.00,65.00,65.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【流年】3枝向日葵鲜花花束毕业季花礼原价129.0元现价69.0元/门店新客立减5.0元	",否,已回复,"感谢您对我们的高度认可，我们始终认为客户第一的哦，为您提供优质的服务是每一位客服都应该做到的呢。祝您万事如意……	",0.00分,0.00,"2020-06-29 19:09:11	",
"	20200601-20200630","93146093126568044	","2020-06-29 07:49:12	",0秒,"Mr.Liu's花店	","9314609	","吕梁	",在线支付,订单完成,配送中,是,139.00,58.00,10.00,76.00,"毕业季	",【流年】3枝向日葵鲜花花束毕业季花礼,,,1,129.00,51.00,78.00,68.00,10.00,否,0,0.00,0.00,10.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/用户使用了首单支付红包减10元/购买【流年】3枝向日葵鲜花花束毕业季花礼原价129.0元现价69.0元/门店新客立减5.0元/减配送费3.0元/用户使用了商家代金券减3元	",否,未回复,,0.00分,0.00,"2020-06-29 21:22:55	",
"	20200601-20200630","93146090127887422	","2020-06-30 10:41:56	",11秒,"Mr.Liu's花店	","9314609	","吕梁	",在线支付,订单完成,配送中,否,189.00,86.00,10.00,98.00,"感恩父亲节	",【和蔼】3枝向日葵+4枝香槟玫瑰鲜花花束,,,1,179.00,79.00,100.00,90.00,10.00,否,0,0.00,0.00,10.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/用户使用了首单支付红包减10元/购买【和蔼】3枝向日葵+4枝香槟玫瑰鲜花花束原价179.0元现价89.0元/减配送费3.0元	",是,未回复,,0.00分,0.00,"2020-06-30 15:35:28	",
"	20200601-20200630","93196511922721414	","2020-06-18 16:05:16	",371秒,"爱尚花坊	","9319651	","呼伦贝尔	",在线支付,订单完成,配送中,否,289.00,106.00,0.00,188.00,"感恩父亲节	",【慈祥】11枝香槟玫瑰+5枝白百合鲜花花束,,,1,289.00,106.00,183.00,183.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【慈祥】11枝香槟玫瑰+5枝白百合鲜花花束原价289.0元现价109.0元/门店新客立减3.0元/送3元商家代金券	",否,未回复,,0.00分,0.00,"2020-06-18 22:42:33	",
"	20200601-20200630","93196510362605194	","2020-06-27 20:09:11	",92秒,"爱尚花坊	","9319651	","呼伦贝尔	",在线支付,订单完成,配送中,否,369.00,243.00,0.00,131.00,"开业花篮	",【鸿运当头】双层开业花篮一对,,,1,369.00,243.00,126.00,126.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【鸿运当头】双层开业花篮一对原价369.0元现价248.0元/门店新客立减5.0元/送3元商家代金券	",否,未回复,,0.00分,0.00,"2020-06-28 01:39:28	",
"	20200601-20200630","93196513586875043	","2020-06-28 13:17:40	",147秒,"爱尚花坊	","9319651	","呼伦贝尔	",在线支付,订单完成,配送中,否,229.00,64.00,0.00,170.00,"爱情告白	",【爱一世】9枝粉玫瑰搭配满天星简约花束,,,1,229.00,64.00,165.00,165.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【爱一世】9枝粉玫瑰搭配满天星简约花束原价229.0元现价69.0元/门店新客立减5.0元	",否,已回复,,0.00分,0.00,"2020-06-29 00:08:05	",
"	20200601-20200630","93226974028531005	","2020-06-24 08:11:35	",84秒,"锦上添花鲜花	","9322697	","长春	",在线支付,订单完成,配送中,否,229.00,64.00,0.00,170.00,"爱情告白	",【爱一世】9枝粉玫瑰搭配满天星简约花束,,,1,229.00,64.00,165.00,165.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【爱一世】9枝粉玫瑰搭配满天星简约花束原价229.0元现价69.0元/门店新客立减5.0元	",否,已回复,,0.00分,0.00,"2020-06-24 12:34:44	",
"	20200601-20200630","93226972218359854	","2020-06-25 17:58:22	",79秒,"锦上添花鲜花	","9322697	","长春	",在线支付,订单完成,配送中,否,129.00,61.00,0.00,73.00,"毕业季	",【流年】3枝向日葵鲜花花束毕业季花礼,,,1,129.00,61.00,68.00,68.00,0.00,否,0,0.00,0.00,0.00,是,"满69.0元赠精美贺卡下单备注贺卡内容*1/购买【流年】3枝向日葵鲜花花束毕业季花礼原价129.0元现价69.0元/门店新客立减5.0元/用户使用了商家代金券减3元	",否,已回复,,0.00分,0.00,"2020-06-25 23:57:23	",
