,0,结束日期,商家ID,商家名称,运营组,省份,城市,是否新增商家,首次上线日期,门店在线状态,（日均）预设营业时长（h）,（日均）在线营业时长（h）,曝光人数,入店人数,下单人数,有效订单数,下单新客人数,复购人数,入店转化率,下单转化率,新客转化率,有效率,复购率,原价交易额,实付交易额,商家补贴金额,原价客单价,实付客单价,cluster
50,20200601,20200630,9314603,鲜花婚庆,鲜花组,天津市,天津,否,20200617,在线,11,11.3,1274,16,1,1,1,0,1.26,0.06,1,1,0,179,86,98,179,86,0
25,20200601,20200630,9263605,都市花乡,鲜花组,辽宁省,朝阳,否,20200608,在线,13,13.4,1262,53,1,0,0,1,4.2,0.02,0,0,1,0,0,0,0,0,0
92,20200601,20200630,9385213,娜娜花屋,鲜花组,陕西省,宝鸡,否,20200624,在线,14,14.8,1262,45,2,2,2,0,3.57,0.04,1,1,0,458,133,335,229,66.5,0
30,20200601,20200630,9266338,流星花園,鲜花组,湖南省,永州,否,20200614,在线,12,12.6,1238,85,1,1,1,0,6.87,0.01,1,1,0,289,181,113,289,181,0
27,20200601,20200630,9263833,馨露鲜花,鲜花组,辽宁省,盘锦,否,20200608,在线,11,11.9,1228,36,1,1,1,0,2.93,0.03,1,1,0,129,54,75,129,54,0
75,20200601,20200630,9352424,尚品花坊（艾尚花语鲜花店）,鲜花组,江西省,上饶,否,20200619,在线,14,14.8,1227,31,0,0,0,0,2.53,0,0,0,0,0,0,0,0,0,0
89,20200601,20200630,9385115,千千惠鲜花,鲜花组,山东省,临沂,否,20200623,在线,13,13.6,1215,36,0,0,0,0,2.96,0,0,0,0,0,0,0,0,0,0
77,20200601,20200630,9360432,大自然花艺（艾尚花语鲜花店）,鲜花组,湖北省,黄冈,否,20200619,在线,11,11.8,1208,7,0,0,0,0,0.58,0,0,0,0,0,0,0,0,0,0
56,20200601,20200630,9319351,花间集,鲜花组,湖北省,恩施土家族苗族自治州,否,20200619,在线,15,15.7,1203,52,0,0,0,0,4.32,0,0,0,0,0,0,0,0,0,0
2,20200601,20200630,9043306,花之都创意鲜花馆,鲜花组,山东省,潍坊,否,20200508,在线,18,18,1183,17,0,0,0,0,1.44,0,0,0,0,0,0,0,0,0,0
46,20200601,20200630,9295325,美家鲜花礼品店,鲜花组,湖南省,岳阳,否,20200609,在线,12,12.5,1179,72,11,11,11,0,6.11,0.15,1,1,0,3048,1185,1913,277.0909091,107.7272727,0
37,20200601,20200630,9288258,花开相爱,鲜花组,山西省,吕梁,否,20200613,在线,14,14.6,1170,40,2,2,2,0,3.42,0.05,1,1,0,327,162,175,163.5,81,0
83,20200601,20200630,9371509,慧媛花艺,鲜花组,河北省,保定,否,20200624,在线,13,13.4,1161,28,0,0,0,0,2.41,0,0,0,0,0,0,0,0,0,0
67,20200601,20200630,9339176,绿之园花卉,鲜花组,湖南省,永州,否,20200616,在线,12,12.8,1160,41,3,3,3,0,3.53,0.07,1,1,0,607,246,376,202.3333333,82,0
90,20200601,20200630,9385117,尚品鲜花,鲜花组,吉林省,长春,否,20200623,在线,10,10.7,1114,25,0,0,0,0,2.24,0,0,0,0,0,0,0,0,0,0
48,20200601,20200630,9297947,丰颖花艺,鲜花组,吉林省,辽源,否,20200612,在线,13,13.3,1111,65,3,3,3,0,5.85,0.05,1,1,0,817,454,373,272.3333333,151.3333333,0
