,蜂窝,门店总数,订单数,曝光人数,订单方差,实付交易额,平均订单数,平均金额,均客单价,最小客单价,最大客单价,非议订单数,拒单,不接订单,time,蜂窝数量
0,友好广场,32,154,132056.0,6.930239953021224,16809.62000864744,4.8125,525.3006252702324,107.15307922246294,54.1,146.0,17,4,2,4.8125,1
0,红梅,25,137,135776.0,5.767148342118485,12991.800004959105,5.48,519.6720001983642,99.30627749044143,37.7999992370605,255.0,17,8,3,5.04,1
0,万达广场,24,112,99995.0,6.0553007081949835,11148.300008773802,4.666666666666667,464.5125003655751,108.28457082397469,58.614286014011924,187.0,2,2,0,4.5,1
0,天津街,15,105,59534.0,16.51406327086964,1816.900014877319,7.0,121.12666765848795,37.63560578717746,8.839344431142337,71.8000030517578,4,1,2,5.4,1
0,中长街,19,96,61561.0,10.895838574685936,7581.700006105006,5.052631578947368,399.03684242657926,90.63985391740681,9.333333333333334,181.0,4,2,0,5.368421052631579,1
0,金州安盛,32,81,112704.0,3.005203820042827,6578.5400123337395,2.53125,205.57937538542936,85.38422915858442,14.300000190734847,175.5,8,1,4,4.875,1
0,锦辉广场,16,75,69065.0,4.556588636249711,6890.7400089558205,4.6875,430.6712505597388,104.57065108299561,10.0,297.5,1,0,0,5.5,1
0,锦绣,11,64,49161.0,9.38954931632165,4552.30005264282,5.818181818181818,413.8454593311655,82.26261966523667,67.70666809082032,118.85000038146971,0,0,0,6.2727272727272725,1
0,泡崖子,24,60,86194.0,3.3751006426218,7394.000001907347,2.5,308.0833334128061,124.01403852609486,62.0,213.0,2,0,1,4.5,1
0,泉水东,16,56,123306.0,3.119829055146024,6655.580001831055,3.5,415.9737501144409,114.28627718860797,52.20000076293945,172.0,3,2,0,4.5,1
0,大连财经学院,8,51,57853.0,2.9730936268953445,5628.0,6.375,703.5,115.90922619047619,78.7,259.1666666666667,0,0,0,4.5,1
0,高新万达,8,50,34131.0,4.652188425123938,6779.4600105285635,6.25,847.4325013160704,151.73612831218193,91.19199981689451,329.0,10,2,1,4.5,1
0,华南广场,11,50,73099.0,3.8565175058240397,7240.149985313414,4.545454545454546,658.1954532103103,164.2366069668815,41.785714149475076,326.6666666666667,2,0,0,3.8181818181818183,1
0,亿合城,9,49,41446.0,6.002314368456369,3317.2000007629395,5.444444444444445,368.5777778625488,60.71446922746901,12.537500083446494,99.89473684210527,6,1,0,6.888888888888889,1
0,红星海,24,40,101673.0,2.958652258783684,3189.2999877929683,1.6666666666666667,132.8874994913737,85.85677786933047,18.5,157.0,2,0,1,4.5,1
0,春柳西,23,38,101421.0,2.1021351840487825,3554.7000012397766,1.6521739130434783,154.5521739669468,118.62163266454424,26.842857360839844,194.5,4,1,1,4.3478260869565215,1
0,旅顺新玛特,17,38,33706.0,3.4192362408275088,2975.710001120344,2.235294117647059,175.04176477178493,86.49923704652562,18.0,155.0,1,0,0,5.647058823529412,1
0,金三角,11,34,56834.0,2.7369525189358126,4217.5,3.090909090909091,383.40909090909093,159.56944444444446,62.66666666666666,419.0,2,2,0,3.8181818181818183,1
0,南关岭,16,32,45586.0,1.96638416050035,3377.589988708495,2.0,211.09937429428095,105.98049959818516,66.950000762939,155.44999694824205,2,1,1,4.5,1
0,和平广场,23,30,61077.0,1.6904755277381043,5377.300041198728,1.3043478260869565,233.79565396516207,220.7145846366881,56.5,996.0,1,1,0,3.782608695652174,1
0,八一路东,12,28,39953.0,1.9694638556693236,2902.179992675781,2.3333333333333335,241.84833272298172,102.55964224679127,7.0,265.0,2,0,0,5.166666666666667,1
0,五一广场,25,26,56633.0,2.0912516188477497,2107.299997329712,1.04,84.29199989318847,118.25989577174187,29.26666641235352,292.0,0,0,0,5.04,1
0,春柳东,22,25,39038.0,1.9831541626662392,2466.0,1.1363636363636365,112.0909090909091,127.10833333333333,37.2,263.0,2,2,0,5.454545454545454,1
0,小平岛,18,20,54917.0,1.3672165321380643,3313.400001525879,1.1111111111111112,184.07777786254883,164.53083337148033,99.0,210.0,1,0,0,4.166666666666667,1
0,凯旋,23,18,32668.0,1.8818878755878587,1373.1000061035152,0.782608695652174,59.70000026537023,92.38531796894374,47.0,203.05000305175756,1,1,0,4.3478260869565215,1
0,沙河口,12,17,21148.0,3.1176428547376895,1545.5,1.4166666666666667,128.79166666666666,102.62727272727273,65.0,152.5,1,0,0,5.166666666666667,1
0,二七广场,24,15,50682.0,1.0959411282189109,1610.0,0.625,67.08333333333333,104.33333333333334,66.0,188.0,5,1,2,4.5,1
0,辽宁师范大学海华学院,2,15,9760.0,4.949747468305833,1039.7999954223633,7.5,519.8999977111816,56.14090876145795,27.89999961853025,84.38181790438566,2,1,0,7.5,1
0,五彩城,21,11,45651.0,0.8135752957807666,1482.900001525878,0.5238095238095238,70.61428578694657,144.2791668574014,80.0,222.0,5,2,1,4.142857142857143,1
0,东方圣克拉,14,11,33864.0,1.188313053066368,1311.59999847412,0.7857142857142857,93.68571417672285,136.25833320617667,44.5,265.0,1,1,0,6.714285714285714,1
0,千山路,9,7,32801.0,1.986062547968831,889.0,0.7777777777777778,98.77777777777777,142.83333333333334,120.66666666666669,165.0,4,0,0,4.444444444444445,1
0,张前路乐购,8,7,18808.0,1.4577379737113252,1220.0,0.875,152.5,173.25,105.0,272.0,2,0,1,4.5,1
0,大连理工大学,8,6,11555.0,0.7071067811865476,739.0,0.75,92.375,129.5,85.0,225.0,2,1,0,4.5,1
0,东城天下,9,4,7075.0,0.7264831572567789,593.0,0.4444444444444444,65.88888888888889,133.83333333333334,105.0,191.5,0,0,0,4.777777777777778,1
0,罗斯福,8,4,23641.0,0.7559289460184544,642.0,0.5,80.25,177.16666666666666,110.5,285.0,0,0,0,2.5,1
0,青泥洼,9,3,27268.0,0.7071067811865476,185.0,0.3333333333333333,20.555555555555557,55.0,35.0,75.0,1,0,0,4.555555555555555,1
0,东北财经大学,8,2,33444.0,0.4629100498862757,229.0,0.25,28.625,114.5,35.0,194.0,0,0,0,4.5,1
0,软件园,11,2,13086.0,0.6030226891555273,209.8000030517569,0.18181818181818182,19.07272755015972,104.90000152587842,104.90000152587842,104.90000152587842,0,0,0,4.636363636363637,1
0,大连海事大学,11,2,14479.0,0.4045199174779452,165.8999996185302,0.18181818181818182,15.081818147139108,82.9499998092651,16.8999996185302,149.0,2,1,0,5.181818181818182,1
0,南山,3,2,5196.0,1.1547005383792517,94.0,0.6666666666666666,31.333333333333332,47.0,47.0,47.0,0,0,0,2.0,1
0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0
0,凯丹广场,1,0,619.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,7.0,1
