订单编号,下单时间,店铺名称,店铺ID,店铺所在城市,订单总金额（元）,退款金额（元）,退款商品,商家服务问题
"96076743968253920	","2020-08-25 15:29:56	","木子花开鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9607674	","玉溪	","262.00	","262.00	","【怦然心动】11枝红玫瑰鲜花网红礼盒-七夕节表白鲜花*数量1	","缺货导致退款；	"
"94156150358768070	","2020-08-25 08:50:01	","一花一木花艺生活馆(七夕节预定,生日鲜花，表白鲜花)	","9415615	","海口	","329.00	","0.00	",,"拣货超时；	"
"94659683470084206	","2020-08-25 12:30:12	","玫瑰之约鲜花礼品鲜花店	","9465968	","安阳	","259.00	","0.00	",,"用户催单；	"
"95694182141837702	","2020-08-25 08:38:55	","浪漫花都鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9569418	","曲靖	","259.00	","0.00	",,"用户催单；	"
"96076743123430734	","2020-08-25 16:27:59	","木子花开鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9607674	","玉溪	","267.00	","0.00	",,"用户催单；	"
"94659691795091754	","2020-08-25 15:26:17	","珊珊家鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9465969	","安阳	","259.00	","259.00	","【梦芭蕾】11枝粉玫瑰鲜花礼盒-七夕节表白鲜花*数量1	","缺货导致退款；	"
"94156154016847411	","2020-08-25 09:01:41	","一花一木花艺生活馆(七夕节预定,生日鲜花，表白鲜花)	","9415615	","海口	","259.00	","0.00	",,"拣货超时；用户催单；	"
"94659690358768070	","2020-08-25 18:38:46	","珊珊家鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9465969	","安阳	","509.00	","0.00	",,"用户催单；	"
"94156151294596594	","2020-08-25 09:22:30	","一花一木花艺生活馆(七夕节预定,生日鲜花，表白鲜花)	","9415615	","海口	","329.00	","0.00	",,"拣货超时；	"
"95558813585519881	","2020-08-26 09:20:38	","締玖鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9555881	","保定	","289.00	","0.00	",,"用户催单；	"
"94690493213192828	","2020-08-25 11:21:56	","俊萍花艺鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9469049	","秦皇岛	","259.00	","0.00	",,"用户催单；	"
"94156153982058332	","2020-08-25 09:31:47	","一花一木花艺生活馆(七夕节预定,生日鲜花，表白鲜花)	","9415615	","海口	","688.00	","0.00	",,"用户催单；	"
"95694181300204059	","2020-08-25 09:02:09	","浪漫花都鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9569418	","曲靖	","264.00	","0.00	",,"用户催单；	"
"94690493982058332	","2020-08-25 13:27:25	","俊萍花艺鲜花店(七夕节预定,生日鲜花，表白鲜花)	","9469049	","秦皇岛	","259.00	","259.00	","【春风十里】11枝红玫瑰鲜花礼盒-七夕节表白鲜花*数量1	","用户催单；	"
