,开始日期,商家ID,商家名称,运营组,省份,城市,是否新增商家,首次上线日期,门店在线状态,（日均）预设营业时长（h）,（日均）在线营业时长（h）,曝光人数,入店人数,下单人数,有效订单数,下单新客人数,复购人数,入店转化率,下单转化率,新客转化率,复购率,原价交易额,实付交易额,商家补贴金额,原价客单价,实付客单价,cluster
186,4,7392900,花生活鲜花（如意花坊济南店）,鲜花组,山东省,济南,否,20190718,在线,24,24.0,18457,187,1,1,1,0,1.01,0.53,1.0,0.0,245.0,96.0,188.0,245.0,96.0,3
172,3,7310188,花生活鲜花（伊佰莲鲜花婚庆）,鲜花组,浙江省,绍兴,否,20190620,在线,14,14.0,18400,273,16,16,12,4,1.48,5.86,0.75,0.25,5017.0,2292.9,3223.0,313.5625,143.30625,3
158,3,7207843,花生活鲜花（花殿鲜花店）,鲜花组,内蒙古自治区,呼伦贝尔,否,20190603,在线,12,11.5,18325,313,12,9,9,3,1.71,3.83,0.75,0.25,2084.0,1103.0,1327.0,173.66666666666666,91.91666666666667,3
62,1,5196478,郁涧鲜花坊,鲜花组,内蒙古自治区,赤峰,否,20180612,在线,19,19.8,18302,311,10,11,6,4,1.7,3.22,0.6,0.4,2178.0,729.0,1449.0,217.8,72.9,3
137,2,7022275,花生活鲜花（太阳红花店）,鲜花组,四川省,资阳,否,20190518,在线,13,13.0,18288,451,15,13,9,6,2.47,3.33,0.6,0.4,4552.0,2073.0,2908.0,303.46666666666664,138.2,3
376,4,8709976,梵西,鲜花组,福建省,莆田,否,20200319,在线,14,14.9,18158,1629,2,1,1,1,8.97,0.12,0.5,0.5,169.0,136.0,52.0,84.5,68.0,3
154,1,7166109,花生活鲜花（花研巧遇）,鲜花组,安徽省,合肥,否,20190612,在线,21,21.7,18083,485,7,2,2,5,2.68,1.44,0.2857142857142857,0.7142857142857143,656.0,530.0,204.0,93.71428571428571,75.71428571428571,3
83,1,6104153,花生活鲜花（花伴鲜花）,鲜花组,安徽省,滁州,否,20181125,在线,21,21.6,17997,176,2,0,0,2,0.98,1.14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3
173,2,7317972,花生活鲜花（知音花艺）,鲜花组,浙江省,金华,否,20190628,在线,8,7.9,17921,372,11,9,8,3,2.08,2.96,0.7272727272727273,0.2727272727272727,3494.0,1980.0,1826.0,317.6363636363636,180.0,3
125,1,6826772,花生活鲜花（倾城时光鲜花）,鲜花组,江西省,吉安,否,20190422,在线,22,22.4,17904,666,40,38,32,8,3.72,6.01,0.8,0.2,9323.0,4776.0,5910.0,233.075,119.4,3
280,2,8089012,花生活鲜花（三爷花店）,鲜花组,内蒙古自治区,乌海,否,20191126,在线,13,13.4,17895,590,25,19,18,7,3.3,4.24,0.72,0.28,3945.02,1656.02,2796.0,157.8008,66.2408,3
252,1,7642074,花生活鲜花（云艳花坊）,鲜花组,湖北省,黄冈,否,20190830,在线,24,24.0,17857,2053,22,16,14,8,11.5,1.07,0.6363636363636364,0.36363636363636365,3095.0,1582.0,1895.0,140.6818181818182,71.9090909090909,3
218,1,7475402,花生活鲜花（百合花坊）,鲜花组,宁夏回族自治区,中卫,否,20190730,在线,22,22.8,17802,725,5,3,3,2,4.07,0.69,0.6,0.4,840.0,355.0,602.0,168.0,71.0,3
109,3,6773727,花生活鲜花（水滴鲜花花艺）,鲜花组,山西省,太原,否,20190510,在线,24,24.0,17781,548,29,27,25,4,3.08,5.29,0.8620689655172413,0.13793103448275862,6833.0,3487.0,4377.0,235.6206896551724,120.24137931034483,3
58,2,5345425,花生活鲜花（花稼之约鲜花）,鲜花组,辽宁省,沈阳,否,20180709,在线,24,24.0,17779,170,9,10,6,3,0.96,5.29,0.6666666666666666,0.3333333333333333,3224.0,1620.0,1994.0,358.22222222222223,180.0,3
141,1,7022271,花生活鲜花（心艺花店）,鲜花组,湖南省,长沙,否,20190514,在线,14,14.0,17747,481,13,10,9,4,2.71,2.7,0.6923076923076923,0.3076923076923077,3773.0,1284.02,2761.98,290.2307692307692,98.77076923076923,3
60,3,5379291,花生活鲜花（心怡花店）,鲜花组,上海市,上海,否,20180705,在线,24,24.0,17648,211,15,15,9,6,1.2,7.11,0.6,0.4,2708.0,1153.0,2018.0,180.53333333333333,76.86666666666666,3
91,1,6405229,花生活鲜花（天缘花艺）,鲜花组,贵州省,遵义,否,20190719,在线,18,18.2,17565,126,2,1,1,1,0.72,1.59,0.5,0.5,245.0,112.0,172.0,122.5,56.0,3
380,4,8755673,千寻花道生活馆,鲜花组,河北省,唐山,否,20200325,在线,24,24.0,17492,364,6,5,5,1,2.08,1.65,0.8333333333333334,0.16666666666666666,1016.0,618.0,593.0,169.33333333333334,103.0,3
55,1,4742557,花生活鲜花（陌上花开株洲店）,鲜花组,湖南省,株洲,否,20180413,在线,24,24.0,17470,167,1,1,1,0,0.96,0.6,1.0,0.0,258.0,205.0,92.0,258.0,205.0,3
16,4,2095123,花生活鲜花（遇见花艺馆）,鲜花组,湖南省,郴州,否,20170303,在线,24,24.0,17452,1373,148,141,127,21,7.87,10.78,0.8581081081081081,0.14189189189189189,36206.0,17181.0,24037.0,244.63513513513513,116.08783783783784,3
121,1,6774016,花生活鲜花（婷雅花坊）,鲜花组,安徽省,马鞍山,否,20190329,在线,19,19.1,17379,610,51,47,43,8,3.51,8.36,0.8431372549019608,0.1568627450980392,19530.0,6732.07,14310.73,382.94117647058823,132.0013725490196,3
197,1,7392901,花生活鲜花（挚爱一生鲜花店）,鲜花组,福建省,宁德,否,20190724,在线,24,24.0,17336,477,3,4,3,0,2.75,0.63,1.0,0.0,1122.0,943.0,335.0,374.0,314.3333333333333,3
370,3,8488490,花生活鲜花（茉莉花社青年路店）,鲜花组,山东省,菏泽,否,20200210,在线,24,24.0,17305,809,36,35,29,7,4.67,4.45,0.8055555555555556,0.19444444444444445,8324.0,3953.0,5497.0,231.22222222222223,109.80555555555556,3
262,1,7690567,花生活鲜花（温馨花店）,鲜花组,重庆市,重庆,否,20190916,在线,23,23.8,17275,176,1,1,1,0,1.02,0.57,1.0,0.0,288.0,185.0,142.0,288.0,185.0,3
188,2,7392901,花生活鲜花（挚爱一生鲜花店）,鲜花组,福建省,宁德,否,20190724,在线,24,24.0,17226,536,21,13,13,8,3.11,3.92,0.6190476190476191,0.38095238095238093,5325.0,2649.0,3139.0,253.57142857142858,126.14285714285714,3
174,2,7318032,花生活鲜花（朵美鲜花）,鲜花组,辽宁省,辽阳,否,20190704,在线,24,24.0,17094,278,9,11,6,3,1.63,3.24,0.6666666666666666,0.3333333333333333,3583.0,1591.0,2421.0,398.1111111111111,176.77777777777777,3
85,3,6395163,花生活鲜花（花海）,鲜花组,浙江省,杭州,否,20181225,在线,15,15.5,17075,965,82,82,72,10,5.65,8.5,0.8780487804878049,0.12195121951219512,24662.0,12384.0,15441.0,300.7560975609756,151.02439024390245,3
157,2,7207845,花生活鲜花（花言巧语花艺坊）,鲜花组,福建省,南平,否,20190603,在线,13,13.9,17059,1076,18,8,8,10,6.31,1.67,0.4444444444444444,0.5555555555555556,2423.0,1650.0,1080.0,134.61111111111111,91.66666666666667,3
281,3,8071981,花生活鲜花（红豆情鲜花）,鲜花组,北京市,北京,否,20191224,在线,13,12.6,17050,381,17,15,14,3,2.23,4.46,0.8235294117647058,0.17647058823529413,3852.0,2184.8,2252.2,226.58823529411765,128.51764705882354,3
212,1,7475293,花生活鲜花（520忆花坊）,鲜花组,贵州省,遵义,否,20190719,在线,23,23.1,17035,131,4,4,3,1,0.77,3.05,0.75,0.25,5355.0,335.18,5097.82,1338.75,83.795,3
367,2,8488489,爱花居晴儿鲜花,鲜花组,山东省,烟台,否,20200211,在线,21,22.2,16911,422,8,8,7,1,2.5,1.9,0.875,0.125,2019.0,828.0,1464.0,252.375,103.5,3
160,2,7207848,花生活鲜花（原色花店）,鲜花组,四川省,南充,否,20190621,在线,17,17.6,16900,195,13,11,9,4,1.15,6.67,0.6923076923076923,0.3076923076923077,2417.0,1112.9,1577.0,185.92307692307693,85.60769230769232,3
56,4,5332337,花生活鲜花（四季花屋）,鲜花组,北京市,北京,否,20180628,在线,24,24.0,16869,340,47,49,45,2,2.02,13.82,0.9574468085106383,0.0425531914893617,4826.3,2282.3,3085.0,102.6872340425532,48.55957446808511,3
148,1,7022375,花生活鲜花（冉绘鲜花）,鲜花组,山西省,吕梁,否,20190514,在线,24,24.0,16788,334,5,4,4,1,1.99,1.5,0.8,0.2,1757.0,735.0,1178.0,351.4,147.0,3
323,1,8278267,花生活鲜花（时光对白花店）,鲜花组,河南省,周口,否,20191207,在线,21,21.5,16743,585,11,6,6,5,3.49,1.88,0.5454545454545454,0.45454545454545453,1747.0,934.0,1047.0,158.8181818181818,84.9090909090909,3
25,2,2666240,花生活鲜花（祥和鲜花）,鲜花组,山东省,青岛,否,20170612,在线,19,19.3,16659,404,24,25,21,3,2.43,5.94,0.875,0.125,5891.6,3045.6,3626.0,245.48333333333335,126.89999999999999,3
111,2,6773939,花生活鲜花（四季花苑）,鲜花组,浙江省,宁波,否,20190422,在线,22,22.3,16619,1062,58,55,52,6,6.39,5.46,0.896551724137931,0.10344827586206896,20019.04,12085.64,10363.0,345.1558620689655,208.37310344827586,3
165,1,7207843,花生活鲜花（花殿鲜花店）,鲜花组,内蒙古自治区,呼伦贝尔,否,20190603,在线,21,21.4,16485,300,6,2,2,4,1.82,2.0,0.3333333333333333,0.6666666666666666,483.0,305.0,251.0,80.5,50.833333333333336,3
165,4,7264476,花生活鲜花（花芝鲜花馆）,鲜花组,广东省,湛江,否,20190612,在线,17,17.7,16456,321,11,10,9,2,1.95,3.43,0.8181818181818182,0.18181818181818182,2297.0,899.9,1787.0,208.8181818181818,81.80909090909091,3
48,1,4304946,花生活鲜花（城市花坊）,鲜花组,四川省,泸州,否,20180124,在线,24,24.0,16416,201,11,11,11,0,1.22,5.47,1.0,0.0,3119.0,1216.01,2292.99,283.54545454545456,110.54636363636364,3
188,4,7392902,花生活鲜花（花先生鲜花店）,鲜花组,浙江省,绍兴,否,20190719,在线,24,24.0,16357,265,5,4,4,1,1.62,1.89,0.8,0.2,989.0,523.0,583.0,197.8,104.6,3
57,1,4885878,花生活鲜花（阿西木花艺工作室）,鲜花组,福建省,厦门,否,20180503,在线,12,12.0,16320,157,4,1,1,3,0.96,2.55,0.25,0.75,395.0,182.0,252.0,98.75,45.5,3
363,4,8488490,花生活鲜花（茉莉花社青年路店）,鲜花组,山东省,菏泽,否,20200210,在线,23,23.3,16292,675,24,27,22,2,4.14,3.56,0.9166666666666666,0.08333333333333333,7547.0,3991.0,4521.0,314.4583333333333,166.29166666666666,3
132,2,7004308,花生活鲜花（曼陀罗花开）,鲜花组,陕西省,宝鸡,否,20190514,在线,24,24.0,16290,111,1,1,1,0,0.68,0.9,1.0,0.0,370.0,176.0,233.0,370.0,176.0,3
374,4,8709973,鲜花礼品,鲜花组,山西省,吕梁,否,20200317,在线,15,15.0,16266,525,5,2,2,3,3.23,0.95,0.4,0.6,490.0,170.0,398.0,98.0,34.0,3
288,1,7994671,花生活鲜花（爱花坊鲜花店）,鲜花组,浙江省,温州,否,20191208,在线,24,24.0,16232,195,7,5,5,2,1.2,3.59,0.7142857142857143,0.2857142857142857,1014.0,536.0,673.0,144.85714285714286,76.57142857142857,3
212,3,7514881,花生活鲜花（小简花艺工作室）,鲜花组,浙江省,绍兴,否,20190726,在线,24,24.0,16184,261,17,13,13,4,1.61,6.51,0.7647058823529411,0.23529411764705882,4293.0,2082.0,2713.0,252.52941176470588,122.47058823529412,3
335,2,8364416,花生活鲜花（美之缘鲜花店）,鲜花组,山东省,临沂,否,20200115,在线,19,19.9,16173,172,1,1,1,0,1.06,0.58,1.0,0.0,170.0,60.0,144.0,170.0,60.0,3
241,3,7642074,花生活鲜花（云艳花坊）,鲜花组,湖北省,黄冈,否,20190830,在线,6,6.6,16157,739,17,14,14,3,4.57,2.3,0.8235294117647058,0.17647058823529413,3452.0,1802.0,2191.0,203.05882352941177,106.0,3
90,1,6395163,花生活鲜花（花海）,鲜花组,浙江省,杭州,否,20181225,在线,13,12.9,16097,610,49,49,45,4,3.79,8.03,0.9183673469387755,0.08163265306122448,17594.0,9787.01,9705.99,359.0612244897959,199.73489795918368,3
