,time,商家ID,r,f,m,r_score,f_score,m_score,rfm_group
871,3,6952198,0,0,0,1,1,1,111
872,3,6956267,22,21,2672,2,3,3,233
873,3,6967767,24,15,1797,3,3,3,333
874,3,6968121,0,0,0,1,1,1,111
875,3,6968235,24,12,1192,3,3,3,333
876,3,7004308,24,0,0,3,1,1,311
877,3,7008016,0,0,0,1,1,1,111
878,3,7022271,24,10,1077,3,3,3,333
879,3,7022273,24,3,326,3,2,2,322
880,3,7022274,24,9,895,3,3,3,333
881,3,7022275,23,25,2945,3,3,3,333
882,3,7022276,24,12,1392,3,3,3,333
883,3,7022374,24,10,842,3,3,2,332
884,3,7022375,11,4,531,2,2,2,222
885,3,7028637,24,4,817,3,2,2,322
886,3,7063793,0,0,0,1,1,1,111
887,3,7088807,18,0,0,2,1,1,211
888,3,7093976,10,3,306,1,2,2,122
889,3,7094045,12,16,1886,2,3,3,233
890,3,7160078,24,1,0,3,2,1,321
891,3,7166109,19,2,115,2,2,2,222
892,3,7166110,17,8,1235,2,2,3,223
893,3,7166112,24,0,0,3,1,1,311
894,3,7166113,0,0,0,1,1,1,111
895,3,7166115,0,0,0,1,1,1,111
896,3,7166116,0,0,0,1,1,1,111
897,3,7166264,24,5,377,3,2,2,322
898,3,7194721,24,23,4450,3,3,3,333
899,3,7196730,12,0,0,2,1,1,211
900,3,7207842,22,13,1203,2,3,3,233
901,3,7207843,11,12,1103,2,3,3,233
902,3,7207845,14,14,1749,2,3,3,233
903,3,7207846,11,34,5418,2,3,3,233
904,3,7207847,24,2,188,3,2,2,322
905,3,7207848,24,29,2705,3,3,3,333
906,3,7207850,24,61,7683,3,3,3,333
907,3,7207851,23,62,6879,3,3,3,333
908,3,7264470,24,1,136,3,2,2,322
909,3,7264472,11,5,421,2,2,2,222
910,3,7264474,19,2,282,2,2,2,222
911,3,7264476,0,0,0,1,1,1,111
912,3,7264477,14,1,99,2,2,2,222
913,3,7280704,15,1,0,2,2,1,221
914,3,7310176,23,8,849,3,2,2,322
915,3,7310188,14,16,2292,2,3,3,233
916,3,7311299,24,6,778,3,2,2,322
917,3,7317971,13,3,311,2,2,2,222
918,3,7317972,15,19,1943,2,3,3,233
919,3,7318032,24,26,4166,3,3,3,333
920,3,7331152,15,3,263,2,2,2,222
921,3,7349050,19,13,1684,2,3,3,233
922,3,7349051,24,53,7836,3,3,3,333
923,3,7349052,24,3,278,3,2,2,322
924,3,7349060,24,0,0,3,1,1,311
925,3,7349110,24,3,325,3,2,2,322
926,3,7392788,24,18,2236,3,3,3,333
927,3,7392799,9,0,0,1,1,1,111
928,3,7392893,22,25,2698,2,3,3,233
929,3,7392896,23,0,0,3,1,1,311
930,3,7392897,0,0,0,1,1,1,111
931,3,7392899,24,0,0,3,1,1,311
932,3,7392900,24,3,251,3,2,2,322
933,3,7392901,24,10,1174,3,3,3,333
934,3,7392902,24,5,301,3,2,2,322
935,3,7392906,12,32,4531,2,3,3,233
936,3,7392907,24,4,232,3,2,2,322
937,3,7398752,8,5,281,1,2,2,122
938,3,7427902,24,8,1051,3,2,3,323
939,3,7427904,24,2,105,3,2,2,322
940,3,7428704,0,0,0,1,1,1,111
941,3,7429078,24,8,1143,3,2,3,323
942,3,7475288,0,0,0,1,1,1,111
943,3,7475291,0,0,0,1,1,1,111
944,3,7475292,14,22,2385,2,3,3,233
945,3,7475293,24,5,197,3,2,2,322
946,3,7475294,24,5,445,3,2,2,322
947,3,7475297,10,1,138,2,2,2,222
948,3,7475298,14,142,17739,2,3,3,233
949,3,7475299,14,3,512,2,2,2,222
950,3,7475300,13,14,1785,2,3,3,233
951,3,7475402,12,21,3334,2,3,3,233
952,3,7514878,0,0,0,1,1,1,111
953,3,7514879,24,3,725,3,2,2,322
954,3,7514880,10,0,0,2,1,1,211
955,3,7514881,24,17,2082,3,3,3,333
956,3,7514883,24,9,905,3,3,3,333
957,3,7514884,24,0,0,3,1,1,311
958,3,7514886,4,4,383,1,2,2,122
959,3,7514887,19,6,511,2,2,2,222
960,3,7514888,7,0,0,1,1,1,111
961,3,7514889,24,1,0,3,2,1,321
962,3,7514890,10,11,1335,2,3,3,233
963,3,7514891,14,1,0,2,2,1,221
964,3,7514892,18,14,2448,2,3,3,233
965,3,7514896,24,3,316,3,2,2,322
966,3,7515286,14,71,19964,2,3,3,233
967,3,7515288,24,1,96,3,2,2,322
968,3,7545487,23,13,1284,3,3,3,333
969,3,7545488,9,17,1709,1,3,3,133
970,3,7545489,24,19,2526,3,3,3,333
971,3,7545490,0,0,0,1,1,1,111
972,3,7545492,22,8,943,2,2,3,223
973,3,7545494,22,5,387,2,2,2,222
974,3,7546953,16,18,2123,2,3,3,233
975,3,7622475,24,3,227,3,2,2,322
976,3,7634499,11,1,95,2,2,2,222
977,3,7641996,10,3,437,2,2,2,222
978,3,7642002,19,2,332,2,2,2,222
979,3,7642004,24,0,0,3,1,1,311
980,3,7642006,24,17,1662,3,3,3,333
981,3,7642070,18,0,0,2,1,1,211
982,3,7642072,19,0,0,2,1,1,211
983,3,7642073,0,0,0,1,1,1,111
984,3,7642074,6,17,1802,1,3,3,133
985,3,7642075,0,0,0,1,1,1,111
986,3,7642076,10,3,201,2,2,2,222
987,3,7672370,20,14,2382,2,3,3,233
988,3,7672411,0,0,0,1,1,1,111
989,3,7672416,0,0,0,1,1,1,111
990,3,7672419,12,3,625,2,2,2,222
991,3,7672420,24,15,1717,3,3,3,333
992,3,7672499,0,0,0,1,1,1,111
993,3,7682068,24,3,412,3,2,2,322
994,3,7690567,19,10,1565,2,3,3,233
995,3,7743128,16,1,105,2,2,2,222
996,3,7743129,24,0,0,3,1,1,311
997,3,7743130,24,0,0,3,1,1,311
998,3,7743133,24,18,1876,3,3,3,333
999,3,7785891,0,0,0,1,1,1,111
1000,3,7785893,24,3,317,3,2,2,322
1001,3,7785894,0,0,0,1,1,1,111
1002,3,7785895,24,9,712,3,3,2,332
1003,3,7785896,14,0,0,2,1,1,211
1004,3,7785967,24,26,2362,3,3,3,333
1005,3,7907142,24,0,0,3,1,1,311
1006,3,7907143,0,0,0,1,1,1,111
1007,3,7907144,24,4,525,3,2,2,322
1008,3,7934066,24,1,105,3,2,2,322
1009,3,7934067,21,0,0,2,1,1,211
1010,3,7934071,0,0,0,1,1,1,111
1011,3,7934075,24,5,594,3,2,2,322
1012,3,7934077,24,31,5288,3,3,3,333
1013,3,7934078,24,7,966,3,2,3,323
1014,3,7994663,5,1,125,1,2,2,122
1015,3,7994665,0,0,0,1,1,1,111
1016,3,7994666,0,0,0,1,1,1,111
1017,3,7994668,24,6,281,3,2,2,322
1018,3,7994670,0,0,0,1,1,1,111
1019,3,7994671,23,5,462,3,2,2,322
1020,3,7994673,24,16,1879,3,3,3,333
1021,3,7994675,23,3,280,3,2,2,322
1022,3,8068587,17,2,0,2,2,1,221
1023,3,8070349,0,0,0,1,1,1,111
1024,3,8071981,12,17,2184,2,3,3,233
1025,3,8089012,22,49,11412,2,3,3,233
1026,3,8094433,24,79,13294,3,3,3,333
1027,3,8094434,0,0,0,1,1,1,111
1028,3,8197675,0,0,0,1,1,1,111
1029,3,8207107,24,4,721,3,2,2,322
1030,3,8207108,24,5,641,3,2,2,322
1031,3,8207110,24,0,0,3,1,1,311
1032,3,8207111,11,2,96,2,2,2,222
1033,3,8207112,24,3,348,3,2,2,322
1034,3,8207114,19,0,0,2,1,1,211
1035,3,8207115,0,0,0,1,1,1,111
1036,3,8207118,24,8,859,3,2,2,322
1037,3,8207119,19,1,0,2,2,1,221
1038,3,8207120,18,4,265,2,2,2,222
1039,3,8222414,0,0,0,1,1,1,111
1040,3,8226888,24,1,0,3,2,1,321
1041,3,8250903,17,19,1996,2,3,3,233
1042,3,8250905,0,0,0,1,1,1,111
1043,3,8250906,0,0,0,1,1,1,111
1044,3,8250907,0,0,0,1,1,1,111
1045,3,8253592,24,3,96,3,2,2,322
1046,3,8253593,24,6,548,3,2,2,322
1047,3,8258610,24,0,0,3,1,1,311
1048,3,8258611,24,0,0,3,1,1,311
1049,3,8258612,7,2,247,1,2,2,122
1050,3,8258613,0,0,0,1,1,1,111
1051,3,8278261,14,28,3353,2,3,3,233
1052,3,8278262,20,3,294,2,2,2,222
1053,3,8278267,24,33,3843,3,3,3,333
1054,3,8278268,9,2,133,1,2,2,122
1055,3,8278275,0,0,0,1,1,1,111
1056,3,8278322,13,13,1004,2,3,3,233
1057,3,8278323,17,19,2669,2,3,3,233
1058,3,8278324,0,0,0,1,1,1,111
1059,3,8278326,0,0,0,1,1,1,111
1060,3,8278376,24,5,501,3,2,2,322
1061,3,8278380,23,3,240,3,2,2,322
1062,3,8278384,0,0,0,1,1,1,111
1063,3,8278455,9,2,172,1,2,2,122
1064,3,8278456,24,0,0,3,1,1,311
1065,3,8278457,24,8,1397,3,2,3,323
1066,3,8278459,11,53,8368,2,3,3,233
1067,3,8278460,13,18,1869,2,3,3,233
1068,3,8280405,24,3,381,3,2,2,322
1069,3,8280460,0,0,0,1,1,1,111
1070,3,8284382,24,76,8752,3,3,3,333
1071,3,8284386,6,12,2142,1,3,3,133
1072,3,8357579,22,1,136,2,2,2,222
1073,3,8357582,13,107,14974,2,3,3,233
1074,3,8357588,22,21,2813,2,3,3,233
1075,3,8357592,24,18,1912,3,3,3,333
1076,3,8357593,17,1,0,2,2,1,221
1077,3,8358888,0,0,0,1,1,1,111
