,门店ID,体检分,有效订单数,入店人数,平均商家评分,平均配送评分,平均配送评分
165,7318032,78.0,1,22,4.3,4.3,4.3
166,7331152,74.0,0,11,0.0,0.0,0.0
167,7349050,74.0,0,9,0.0,0.0,0.0
168,7349051,65.0,0,5,0.0,0.0,0.0
169,7349052,53.0,0,0,0.0,0.0,0.0
170,7349060,62.0,0,6,0.0,0.0,0.0
171,7349110,60.0,0,4,0.0,0.0,0.0
172,7392788,82.0,1,14,4.1,4.7,4.7
173,7392799,53.0,0,1,0.0,0.0,0.0
174,7392893,81.0,0,9,4.3,4.5,4.5
175,7392896,46.0,0,1,0.0,0.0,0.0
176,7392897,60.0,0,15,4.5,5.0,5.0
177,7392899,57.0,0,7,0.0,0.0,0.0
178,7392900,62.0,0,8,0.0,0.0,0.0
179,7392901,67.0,0,9,0.0,0.0,0.0
180,7392902,65.0,0,17,0.0,0.0,0.0
181,7392906,79.0,1,28,4.7,4.6,4.6
182,7392907,53.0,0,0,0.0,0.0,0.0
183,7427902,62.0,0,3,0.0,0.0,0.0
184,7427904,55.0,0,0,0.0,0.0,0.0
185,7428704,65.0,0,12,0.0,0.0,0.0
186,7429078,69.0,1,18,0.0,0.0,0.0
187,7475288,51.0,0,7,0.0,0.0,0.0
188,7475292,86.0,0,37,5.0,0.0,0.0
189,7475293,76.0,0,11,4.4,4.6,4.6
190,7475294,80.0,1,22,5.0,5.0,5.0
191,7475297,54.0,0,3,0.0,0.0,0.0
192,7475298,83.0,0,25,4.6,4.8,4.8
193,7475299,56.0,0,1,0.0,0.0,0.0
194,7475300,80.0,0,36,5.0,5.0,5.0
195,7475402,69.0,0,8,0.0,0.0,0.0
196,7514879,70.0,0,3,4.3,5.0,5.0
197,7514880,62.0,0,7,0.0,0.0,0.0
198,7514881,83.0,0,14,4.3,4.7,4.7
199,7514883,63.0,0,11,0.0,0.0,0.0
200,7514884,67.0,0,5,0.0,0.0,0.0
201,7514886,81.0,1,17,5.0,5.0,5.0
202,7514887,61.0,0,3,0.0,0.0,0.0
203,7514888,62.0,0,7,0.0,0.0,0.0
204,7514889,52.0,0,0,0.0,0.0,0.0
205,7514890,80.0,0,19,4.8,5.0,5.0
206,7514891,47.0,0,0,0.0,0.0,0.0
207,7514892,65.0,1,21,0.0,0.0,0.0
208,7514896,84.0,0,21,4.7,5.0,5.0
209,7515286,81.0,0,21,4.3,4.8,4.8
210,7515288,61.0,0,3,3.2,3.4,3.4
