门店,门店ID,城市(城市负责人),体检分,权益奖励,近7日服务问题导致的营业额损失(元),本周触犯红线,上周触犯红线
"花生活鲜花（遇见花艺馆）	","2095123	",郴州,"86.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（九零花坊）	","2174771	",上海,"67.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（花花世界鲜花）	","2220100	",十堰,"56.0	",--,556,未触犯红线,未触犯红线
"花生活鲜花（七彩坊鲜花店）	","2329256	",泉州,"76.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（静静花艺银盛路店）	","2402349	",银川,"77.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（玫瑰坊）	","2482113	",镇江,"61.0	",--,0,未触犯红线,未触犯红线
"花生活鲜花（情缘鲜花店遵义店）	","2527715	",遵义,"64.0	",提升月均体检分-生意贷-8月,138,未触犯红线,未触犯红线
"花生活鲜花（品蕊花屋）	","2622811	",宜宾,"75.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（祥和鲜花）	","2666240	",青岛,"78.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（创意花坊）	","2880558	",合肥,"71.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（小草堂花艺生活馆）	","2922099	",太原,"64.0	",--,138,未触犯红线,未触犯红线
"花生活鲜花（源达花艺）	","3018522	",常德,"80.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（艺都鲜花）	","3027069	",宁波,"50.0	",--,0,未触犯红线,未触犯红线
"花生活鲜花（如意鲜花）	","3072588	",遵义,"70.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（花瓣雨花坊）	","3095162	",天津,"54.0	",--,718,未触犯红线,未触犯红线
"花生活鲜花（艺博花艺）	","3114926	",安阳,"73.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（花之恋鲜花店）	","3128450	",绍兴,"83.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（甄阿奇花艺）	","3165468	",营口,"61.0	",--,0,未触犯红线,未触犯红线
"花生活鲜花（乐派花艺）	","3174325	",遵义,"53.0	",提升月均体检分-生意贷-8月,1172,未触犯红线,未触犯红线
"花生活鲜花（香侬鲜花水果）	","3464481	",合肥,"64.0	",--,0,未触犯红线,未触犯红线
"花生活鲜花（家美园艺）	","3468033	",上海,"86.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（俪缘摆渡人）	","3562612	",淮安,"56.0	",--,0,未触犯红线,未触犯红线
"泽凤花店	","3713872	",合肥,"69.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（柔兰花艺）	","3985407	",莆田,"84.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（雅心花艺）	","3994932	",长沙,"69.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（国色天香鲜花店）	","4192177	",遵义,"58.0	",--,0,未触犯红线,未触犯红线
"花生活鲜花（城市花坊）	","4304946	",泸州,"75.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（意达鲜花店）	","4363389	",唐山,"85.0	",提升月均体检分-生意贷-8月,0,未触犯红线,未触犯红线
"花生活鲜花（玫瑰花店2店）	","4389748	",东莞,"71.0	",--,0,未触犯红线,未触犯红线
