,日期,店铺所在城市,下单时间,接单时长,是否预订单,商品分类,商品名称,商品原价销售额,商品实付销售额,百分比
1891,1,新乡	,2020-01-12 19:33:48	,183秒,否,折扣专区	,『挚爱』11枝红玫瑰花+2只小熊圣诞礼盒送女友闺蜜生日鲜花店,275.0,135.0,0.4909090909090909
1956,1,厦门	,2020-01-05 14:31:07	,319秒,否,折扣专区	,『店长推荐』3枝白玫瑰+6枝粉玫瑰花搭配满天星推荐生日鲜花店,245.0,135.0,0.5510204081632653
1966,1,克孜勒苏柯尔克孜自治州	,2020-01-01 12:07:31	,55秒,否,折扣专区	,『织女款』11枝粉玫瑰圣诞礼盒鲜花送女友闺蜜生日情人鲜花店,245.0,145.0,0.5918367346938775
1967,1,克孜勒苏柯尔克孜自治州	,2020-01-01 15:02:57	,51秒,否,折扣专区	,『挚爱』11枝红玫瑰花+2只小熊圣诞礼盒送女友闺蜜生日鲜花店,275.0,145.0,0.5272727272727272
1988,1,克孜勒苏柯尔克孜自治州	,2020-02-01 10:44:51	,39秒,否,折扣专区	,『织女款』11枝粉玫瑰圣诞礼盒鲜花送女友闺蜜生日情人鲜花店,245.0,128.0,0.5224489795918368
2008,1,德州	,2020-01-03 16:56:36	,129秒,否,折扣专区	,『挚爱』11枝红玫瑰花+2只小熊圣诞礼盒送女友闺蜜生日鲜花店,275.0,145.0,0.5272727272727272
2028,1,昆明	,2020-01-06 11:26:41	,200秒,否,折扣专区	,『Classic B4款』表白神器 11枝红玫瑰+配草鲜花店,268.0,148.0,0.5522388059701493
2029,1,昆明	,2020-01-11 20:36:13	,0秒,是,折扣专区	,『魔鬼中的天使』20朵白玫瑰花红玫瑰花混搭礼盒鲜花店爱人推荐,308.0,135.0,0.4383116883116883
2106,1,菏泽	,2020-01-17 13:45:30	,24秒,否,折扣专区	,『店长推荐』3枝白玫瑰+6枝粉玫瑰花搭配满天星推荐生日鲜花店,245.0,135.0,0.5510204081632653
2257,1,茂名	,2020-02-01 18:33:35	,0秒,否,折扣专区	,『挚爱』11枝红玫瑰花+2只小熊圣诞礼盒送女友闺蜜生日鲜花店,275.0,128.0,0.46545454545454545
