,日期,店铺所在城市,下单时间,接单时长,是否预订单,商品分类,商品名称,商品原价销售额,商品实付销售额,百分比
157,1,宁波	,2020-01-01 12:22:37	,0秒,否,折扣专区	,『卡拉曼达』19枝香槟玫瑰花礼盒送女友生日礼物鲜花店推荐闺蜜,298.0,165.0,0.5536912751677853
205,1,绍兴	,2020-01-16 19:12:36	,0秒,是,折扣专区	,『邂逅之缘』33枝玫瑰黑纱包装表白花束生日礼物情人节鲜花店,358.0,222.0,0.6201117318435754
216,1,绍兴	,2020-01-23 14:38:37	,0秒,否,折扣专区	,『眉目传情』33枝红玫瑰鲜花花束 生日礼物送女友送男友鲜花店,358.0,225.0,0.6284916201117319
220,1,遵义	,2020-01-15 20:38:41	,182秒,否,折扣专区	,『邂逅之缘』33枝玫瑰黑纱包装表白花束生日礼物情人节鲜花店,358.0,222.0,0.6201117318435754
257,1,上海	,2020-01-19 12:45:30	,174秒,否,折扣专区	,『从一而终』33枝红玫瑰花鲜花束 送亲人 送闺蜜送情人鲜花店,358.0,225.0,0.6284916201117319
263,1,上海	,2020-01-21 17:17:10	,166秒,否,折扣专区	,『从一而终』33枝红玫瑰花鲜花束 送亲人 送闺蜜送情人鲜花店,358.0,225.0,0.6284916201117319
276,1,合肥	,2020-01-25 00:27:49	,233秒,否,折扣专区	,『彩虹之恋』满天星鲜花 花束 送女友送闺蜜生日礼物推荐鲜花店,470.0,175.0,0.3723404255319149
286,1,莆田	,2020-01-16 20:21:16	,1秒,否,折扣专区	,『邂逅之缘』33枝玫瑰黑纱包装表白花束生日礼物情人节鲜花店,358.0,222.0,0.6201117318435754
287,1,莆田	,2020-01-17 21:08:11	,0秒,是,折扣专区	,『彩虹之恋』满天星鲜花 花束 送女友送闺蜜生日礼物推荐鲜花店,470.0,175.0,0.3723404255319149
317,1,泸州	,2020-01-24 19:09:12	,107秒,否,折扣专区	,『彩虹之恋』满天星鲜花 花束 送女友送闺蜜生日礼物推荐鲜花店,470.0,175.0,0.3723404255319149
336,1,北京	,2020-01-03 01:51:57	,0秒,否,折扣专区	,『邂逅之缘』33枝玫瑰黑纱包装表白花束生日礼物情人节鲜花店,358.0,245.0,0.6843575418994413
383,1,成都	,2020-01-29 20:49:32	,0秒,是,折扣专区	,『沉默的爱』混搭玫瑰搭配绣球花手提花篮 送女友亲人鲜花店礼物,388.0,255.0,0.6572164948453608
392,1,银川	,2020-01-18 19:57:32	,86秒,否,折扣专区	,『沉默的爱』混搭玫瑰搭配绣球花手提花篮 送女友亲人鲜花店礼物,388.0,255.0,0.6572164948453608
433,1,合肥	,2020-01-26 13:28:09	,0秒,是,折扣专区	,『沉默的爱』混搭玫瑰搭配绣球花手提花篮 送女友亲人鲜花店礼物,388.0,255.0,0.6572164948453608
448,1,北京	,2020-01-24 11:13:06	,51秒,否,折扣专区	,『情窦初开』19枝粉玫瑰鲜花礼盒送男友 送闺蜜送亲人鲜花店,298.0,158.0,0.5302013422818792
